jobset,sent_id,variable,label_issue,label_text,doc_id,sent_text,before,after,party
All,00cfa692260595c81c24bf548e4c294618bc6b5c73117af485f8914c-18,issue position,Nee,issue_no,00cfa692260595c81c24bf548e4c294618bc6b5c73117af485f8914c,"De kiezers die NRC sprak , zien dat er ruimte is voor iets nieuws , in deze eerste verkiezing na dertien jaar premierschap van Mark Rutte ( VVD ) .","Het gebrek aan betaalbare huur- en koopwoningen wordt daarbij als grootste zorg genoemd , gekoppeld aan migratie , aan de gevoelde voorrang die bepaalde groepen , onder wie statushouders en Oekraïense vluchtelingen , krijgen bij de toewijzing van huisvesting .",En tegelijkertijd hebben weinigen het vertrouwen dat ‘Den Haag’ het vermogen heeft om met uitvoerbare oplossingen te komen .,VVD
All,00cfa692260595c81c24bf548e4c294618bc6b5c73117af485f8914c-18,conflict,Nee,issue_no,00cfa692260595c81c24bf548e4c294618bc6b5c73117af485f8914c,"De kiezers die NRC sprak , zien dat er ruimte is voor iets nieuws , in deze eerste verkiezing na dertien jaar premierschap van Mark Rutte ( VVD ) .","Het gebrek aan betaalbare huur- en koopwoningen wordt daarbij als grootste zorg genoemd , gekoppeld aan migratie , aan de gevoelde voorrang die bepaalde groepen , onder wie statushouders en Oekraïense vluchtelingen , krijgen bij de toewijzing van huisvesting .",En tegelijkertijd hebben weinigen het vertrouwen dat ‘Den Haag’ het vermogen heeft om met uitvoerbare oplossingen te komen .,VVD
All,00cfa692260595c81c24bf548e4c294618bc6b5c73117af485f8914c-18,succes en falen,Nee,issue_no,00cfa692260595c81c24bf548e4c294618bc6b5c73117af485f8914c,"De kiezers die NRC sprak , zien dat er ruimte is voor iets nieuws , in deze eerste verkiezing na dertien jaar premierschap van Mark Rutte ( VVD ) .","Het gebrek aan betaalbare huur- en koopwoningen wordt daarbij als grootste zorg genoemd , gekoppeld aan migratie , aan de gevoelde voorrang die bepaalde groepen , onder wie statushouders en Oekraïense vluchtelingen , krijgen bij de toewijzing van huisvesting .",En tegelijkertijd hebben weinigen het vertrouwen dat ‘Den Haag’ het vermogen heeft om met uitvoerbare oplossingen te komen .,VVD
All,02b021e57432a57bbb5262a0aa2c880e078b1e9509d7c1e0e5e6c862-12,issue position,Ja,issue_yes,02b021e57432a57bbb5262a0aa2c880e078b1e9509d7c1e0e5e6c862,"Toezichthouder ACM bepaalde in maart 2021 op aangeven van Eric Wiebes , de toenmalige VVD-minister van Klimaat , dat het afkoppelen gratis moest worden :",Tot 2021 betaalde iemand die van het gas af wilde 700 euro .,verduurzamen was immers al duur genoeg .,Overig
All,02b021e57432a57bbb5262a0aa2c880e078b1e9509d7c1e0e5e6c862-12,conflict,Nee,issue_no,02b021e57432a57bbb5262a0aa2c880e078b1e9509d7c1e0e5e6c862,"Toezichthouder ACM bepaalde in maart 2021 op aangeven van Eric Wiebes , de toenmalige VVD-minister van Klimaat , dat het afkoppelen gratis moest worden :",Tot 2021 betaalde iemand die van het gas af wilde 700 euro .,verduurzamen was immers al duur genoeg .,Overig
All,02b021e57432a57bbb5262a0aa2c880e078b1e9509d7c1e0e5e6c862-12,succes en falen,Nee,issue_no,02b021e57432a57bbb5262a0aa2c880e078b1e9509d7c1e0e5e6c862,"Toezichthouder ACM bepaalde in maart 2021 op aangeven van Eric Wiebes , de toenmalige VVD-minister van Klimaat , dat het afkoppelen gratis moest worden :",Tot 2021 betaalde iemand die van het gas af wilde 700 euro .,verduurzamen was immers al duur genoeg .,Overig
All,033c4cd8fccc2bd59fabd340010e5bfbb02ed7ed36f31a1e1c310d47-25,issue position,Ja,issue_yes,033c4cd8fccc2bd59fabd340010e5bfbb02ed7ed36f31a1e1c310d47,Pieter Omtzigt wil aan dit consumptiefeest een einde maken .,"Door onze praktische , nuchtere aard en handelsgeest maken we van ons land het lelijkste land ter wereld .",Hij wil de hoeveelheid arbeidsmigranten die in Nederland worden toegelaten beperken tot vijftigduizend .,NSC
All,033c4cd8fccc2bd59fabd340010e5bfbb02ed7ed36f31a1e1c310d47-25,succes en falen,Nee,issue_no,033c4cd8fccc2bd59fabd340010e5bfbb02ed7ed36f31a1e1c310d47,Pieter Omtzigt wil aan dit consumptiefeest een einde maken .,"Door onze praktische , nuchtere aard en handelsgeest maken we van ons land het lelijkste land ter wereld .",Hij wil de hoeveelheid arbeidsmigranten die in Nederland worden toegelaten beperken tot vijftigduizend .,NSC
All,033c4cd8fccc2bd59fabd340010e5bfbb02ed7ed36f31a1e1c310d47-25,conflict,Nee,issue_no,033c4cd8fccc2bd59fabd340010e5bfbb02ed7ed36f31a1e1c310d47,Pieter Omtzigt wil aan dit consumptiefeest een einde maken .,"Door onze praktische , nuchtere aard en handelsgeest maken we van ons land het lelijkste land ter wereld .",Hij wil de hoeveelheid arbeidsmigranten die in Nederland worden toegelaten beperken tot vijftigduizend .,NSC
All,0490cc775892fa87482f2f4a28e859a340868274c1fb9e003af4d377-21,issue position,Ja,issue_yes,0490cc775892fa87482f2f4a28e859a340868274c1fb9e003af4d377,"Om deze reden merkte Frans Timmermans tijdens zijn Abel Herzberglezing in september op dat Nederland behoefte heeft aan kathedralenbouwers , die het geduld en de moed hebben om Nederland toekomstbestendig te maken .","Als ons klimaatbeleid nu stagneert , dan gaan we onze klimaatdoelen nooit meer halen .","Dat betekent vooral : welvaart beter verdelen , rechtsstaat bestendigen , klimaatcrisis aanpakken .",GL/PvdA
