unit_id,gold,response,topic,rank,logprob
0a70fa027af71ad9e855f5df871f6829ddbcfcbf7739adc513364bfa-8-D66,,Gezondheid,Health,0,0
0a70fa027af71ad9e855f5df871f6829ddbcfcbf7739adc513364bfa-8-D66,,Burger,CivilRights,3,-2.842239
0a70fa027af71ad9e855f5df871f6829ddbcfcbf7739adc513364bfa-8-D66,,Ond,Education,5,-9.592238
594c8d2d179615cf84d86a82260694fe116328b6302c0b39b86ca802-10-VVD,,Geen,,0,0
594c8d2d179615cf84d86a82260694fe116328b6302c0b39b86ca802-10-VVD,,Gez,Health,3,-11.750039
594c8d2d179615cf84d86a82260694fe116328b6302c0b39b86ca802-10-VVD,,Best,Government,5,-12.625039
5407d1ebdf033a58ccc69c596bf802342588327e9873cdf8a3459f83-26-NSC,,Geen,,0,0
5407d1ebdf033a58ccc69c596bf802342588327e9873cdf8a3459f83-26-NSC,,Gez,Health,3,-13.750015
9a7f7f3529825642bb23c7ca8beffbd8ec6a5ec450adf0b627015a0c-27-Denk,,Geen,,0,0
9a7f7f3529825642bb23c7ca8beffbd8ec6a5ec450adf0b627015a0c-27-Denk,,Gez,Health,5,-13.500018
9a7f7f3529825642bb23c7ca8beffbd8ec6a5ec450adf0b627015a0c-81-Denk,,Geen,,0,0
9a7f7f3529825642bb23c7ca8beffbd8ec6a5ec450adf0b627015a0c-81-Denk,,Imm,Immigration,2,-1.6041098
9a7f7f3529825642bb23c7ca8beffbd8ec6a5ec450adf0b627015a0c-81-Denk,,Gez,Health,4,-8.22911
3f229ec22e682572346a5eabbdae272aa5a64e709c352bb09d20d1f1-3-VVD,,Milieu.,Environment,0,0
3f229ec22e682572346a5eabbdae272aa5a64e709c352bb09d20d1f1-3-VVD,,Def,Defense,7,-14.875035
3f229ec22e682572346a5eabbdae272aa5a64e709c352bb09d20d1f1-30-GL/PvdA,,Geen,,0,0
3f229ec22e682572346a5eabbdae272aa5a64e709c352bb09d20d1f1-30-GL/PvdA,,Mil,Environment,3,-6.634735
3f229ec22e682572346a5eabbdae272aa5a64e709c352bb09d20d1f1-30-GL/PvdA,,Gez,Health,4,-7.759735
3f229ec22e682572346a5eabbdae272aa5a64e709c352bb09d20d1f1-30-GL/PvdA,,Best,Government,5,-9.134735
3f229ec22e682572346a5eabbdae272aa5a64e709c352bb09d20d1f1-30-GL/PvdA,,Def,Defense,6,-10.134735
9621f674d589cc16fee51efa2ccc2f1c33167eca11a4425f40469073-26-VVD,,Defensie,Defense,0,0
