unit_id,gold,response,topic,rank,logprob
58e4a98b6a70104d427afc1c221bbf0e1f7cd70f3d0124609c51f573-18-D66,,Burgerrechten.,CivilRights,0,0
58e4a98b6a70104d427afc1c221bbf0e1f7cd70f3d0124609c51f573-18-D66,,Gez,Health,2,-8.250297
58e4a98b6a70104d427afc1c221bbf0e1f7cd70f3d0124609c51f573-18-D66,,Just,Order,4,-12.000297
58e4a98b6a70104d427afc1c221bbf0e1f7cd70f3d0124609c51f573-18-D66,,Best,Government,7,-16.000296
58e4a98b6a70104d427afc1c221bbf0e1f7cd70f3d0124609c51f573-18-D66,,Werk,Economic,8,-16.375296
58e4a98b6a70104d427afc1c221bbf0e1f7cd70f3d0124609c51f573-27-BBB,,Geen,,0,0
58e4a98b6a70104d427afc1c221bbf0e1f7cd70f3d0124609c51f573-27-BBB,,Burger,CivilRights,2,-4.7588487
58e4a98b6a70104d427afc1c221bbf0e1f7cd70f3d0124609c51f573-27-BBB,,Gez,Health,3,-8.508848
58e4a98b6a70104d427afc1c221bbf0e1f7cd70f3d0124609c51f573-27-BBB,,Best,Government,7,-13.758848
3f229ec22e682572346a5eabbdae272aa5a64e709c352bb09d20d1f1-1-NSC,,Geen,,0,0
3f229ec22e682572346a5eabbdae272aa5a64e709c352bb09d20d1f1-1-NSC,,Mil,Environment,2,-1.7015628
3f229ec22e682572346a5eabbdae272aa5a64e709c352bb09d20d1f1-1-NSC,,Gez,Health,3,-10.201563
9621f674d589cc16fee51efa2ccc2f1c33167eca11a4425f40469073-24-CDA,,Werk.,Economic,0,0
4b094d5271db129ea965be227ab7cfda185184c5d80f3eea4f62ba20-11-NSC,,Burgerrechten.,CivilRights,0,0
4b094d5271db129ea965be227ab7cfda185184c5d80f3eea4f62ba20-11-NSC,,Gez,Health,2,-8.00068
4b094d5271db129ea965be227ab7cfda185184c5d80f3eea4f62ba20-11-NSC,,Best,Government,5,-11.00068
4b094d5271db129ea965be227ab7cfda185184c5d80f3eea4f62ba20-11-NSC,,Just,Order,6,-12.37568
4b094d5271db129ea965be227ab7cfda185184c5d80f3eea4f62ba20-11-NSC,,Werk,Economic,7,-14.25068
4b094d5271db129ea965be227ab7cfda185184c5d80f3eea4f62ba20-27-GL/PvdA,,Geen,,0,0
4b094d5271db129ea965be227ab7cfda185184c5d80f3eea4f62ba20-27-GL/PvdA,,Best,Government,2,-8.750164
4b094d5271db129ea965be227ab7cfda185184c5d80f3eea4f62ba20-27-GL/PvdA,,Gez,Health,4,-14.000164
