unit_id,gold,response,topic,rank,logprob
7d3de67accc6e5a419d32fe992220acd0b21ffe83efe12960783f1a4-19-GL/PvdA,,Geen,,0,0
7d3de67accc6e5a419d32fe992220acd0b21ffe83efe12960783f1a4-19-GL/PvdA,,Gez,Health,3,-9.1350155
7d3de67accc6e5a419d32fe992220acd0b21ffe83efe12960783f1a4-19-GL/PvdA,,Imm,Immigration,6,-11.1350155
7d3de67accc6e5a419d32fe992220acd0b21ffe83efe12960783f1a4-19-GL/PvdA,,Werk,Economic,8,-12.0100155
7d3de67accc6e5a419d32fe992220acd0b21ffe83efe12960783f1a4-19-GL/PvdA,,Ond,Education,10,-12.5100155
58e4a98b6a70104d427afc1c221bbf0e1f7cd70f3d0124609c51f573-29-PvdD,,Burgerrechten,CivilRights,0,0
58e4a98b6a70104d427afc1c221bbf0e1f7cd70f3d0124609c51f573-29-PvdD,,Gez,Health,3,-9.755307
58e4a98b6a70104d427afc1c221bbf0e1f7cd70f3d0124609c51f573-29-PvdD,,Ond,Education,9,-14.505307
594c8d2d179615cf84d86a82260694fe116328b6302c0b39b86ca802-40-PVV,,Geen,,0,0
594c8d2d179615cf84d86a82260694fe116328b6302c0b39b86ca802-40-PVV,,Gez,Health,5,-15.250011
5407d1ebdf033a58ccc69c596bf802342588327e9873cdf8a3459f83-28-VVD,,Geen,,0,0
5407d1ebdf033a58ccc69c596bf802342588327e9873cdf8a3459f83-28-VVD,,Gez,Health,3,-13.000018
5407d1ebdf033a58ccc69c596bf802342588327e9873cdf8a3459f83-31-PVV,,Geen,,0,0
5407d1ebdf033a58ccc69c596bf802342588327e9873cdf8a3459f83-31-PVV,,Gez,Health,2,-11.000073
5407d1ebdf033a58ccc69c596bf802342588327e9873cdf8a3459f83-31-PVV,,Werk,Economic,5,-11.875073
5407d1ebdf033a58ccc69c596bf802342588327e9873cdf8a3459f83-31-PVV,,Imm,Immigration,7,-12.125073
3f229ec22e682572346a5eabbdae272aa5a64e709c352bb09d20d1f1-21-D66,,Milieu.,Environment,0,0
0c832cbc3391d2e4ae37eefde71ad0908cca8b752c3360ba532d7705-20-NSC,,Werk.,Economic,0,0
0c832cbc3391d2e4ae37eefde71ad0908cca8b752c3360ba532d7705-20-NSC,,Gez,Health,4,-6.915387
