,Index,unit_id,actor,topic,n,stance,agreement,text,before,after,prediction,uitleg
0,8491,aadf18884601c4e96a696fea983f85df28db89386f13a3a05d42034e-147-BBB,BBB,Agriculture,4,R,0.5,De BBB-leider zei op de radio verder dat in de discussie over de natuur 'stikstof' niet het grootste probleem is en dat daar niet de focus op moet liggen:,Ze herhaalde dat ze Omtzigt een goede politicus vindt.,"""Wij zijn geen partij die natuur wil vernietigen.",R,"De BBB-leider bagatelliseert het belang van stikstof (‘niet het grootste probleem’). Daarmee verzet zij zich impliciet tegen de kernmaatregel van de duurzame-landbouwagenda, die juist focust op het terugdringen van stikstofuitstoot. Dat wijst op steun voor de traditionele landbouwbelangen en minder nadruk op milieu-restricties."
1,997,123f7cf3c95dda6b3ec3da0f57a0bf2f632d864f1d2f00e2cc542613-55-CU,CU,Agriculture,2,R,1.0,"In het Europees Parlement onthield de CU zich van stemming over de Natuurherstelwet, die lidstaten verplicht in slechte staat verkerende natuurgebieden te herstellen.","Dat door de CU ""het roer om is"" blijkt niet altijd uit het stemgedrag van de partij, blijkt uit onderzoek van Nieuwsuur.",De partij vond dat er te weinig rekening werd gehouden met boeren en vissers.,R,"De CU steunde de Natuurherstelwet niet, omdat die volgens de partij te weinig rekening hield met boeren en vissers. Daarmee stelt de CU het belang van de landbouwgemeenschap boven strengere natuur- en duurzaamheidsregels. Dat wijst op bescherming van traditionele landbouwbelangen."
2,3155,3a920fffe0877bf35ff7cb93b74a7740f8e4f3ccb169e0138300008e-29-D66,D66,Agriculture,2,L,1.0,Jetten herinnerde Timmermans er direct aan dat juist de GroenLinks-PvdA-leider de doelstelling van halvering van de uitstoot in 2030 deze campagne al heeft losgelaten.,Bij EenVandaag reageerde D66-leider Rob Jetten fel op zijn concurrent Timmermans toen deze hem verweet in Rutte IV het stikstofprobleem niet te hebben opgelost.,"„We gaan het klimaat niet redden als progressieve politici geen ruggengraat tonen”, beet Jetten hem toe.",L,Jetten valt Timmermans aan omdat die de doelstelling van halvering van de stikstofuitstoot in 2030 zou hebben losgelaten. Daarmee positioneert D66 zich juist als voorstander van strenge stikstofreductie en dus van verduurzaming van de landbouw.
3,2993,3876e9db368ec58281412faf4eed9ca4d9206dcb38bf8a1214f86006-71-NSC,NSC,Agriculture,5,L,0.8,"Zo is NSC voor een krimp van de intensieve varkenshouderij, en wil de partij toe naar grondgebonden melkveehouderij.","""Ik zie ook dingen in de programma's staan waarvan ik denk: tja, ik weet 't niet helemaal"", zegt ze bij NU.nl .","Dat baart boeren zorgen, stelt Van der Plas.",L,NSC pleit hier voor het verkleinen van de intensieve varkenshouderij en voor grondgebonden melkveehouderij. Dat betekent minder intensieve veehouderij en meer aandacht voor duurzaamheid en kringlooplandbouw. Dit past bij de dimensie ‘Duurzame landbouw’ (L).
4,3631,41c2f4aca7e48728c6c61a333d5f0f633ae95c849b0e3d04efc0bbdc-44-BBB,BBB,Agriculture,5,R,0.6,"""We hebben het al jaren over betere verdienmodellen voor boeren maar we zitten in de realiteit van handelsverdragen met landen waar heel andere productieregels gelden"", zegt Van der Plas.",De BBB wil de oneerlijke handelsverdragen aanpakken.,Ze wijst erop dat legbatterij-eieren uit Oekraïne die hier niet mogen wel gewoon in onze sauzen en koekjes zitten.,R,"BBB bekritiseert handelsverdragen die Nederlandse boeren benadelen en verdedigt hun verdienmodel. De focus ligt op het beschermen van de (intensieve) landbouwsector tegen oneerlijke buitenlandse concurrentie, niet op verduurzaming of inkrimping van de sector. Dit past bij het bevorderen van traditionele landbouw en het ondersteunen van plattelandsgemeenschappen."
5,3293,3dd4a7fd522ec4e43b03e46a6325a3dc231cacfe0de36ce96feef46a-159-PvdD,PvdD,Agriculture,2,L,1.0,De Partij voor de Dieren wil binnen twee jaar een reductie van de veestapel van 75 procent.,"Ze wilde geen percentage noemen, maar ze benadrukte: ""De enige economie die aanvaardbaar is, is een economie die past bij de draagkracht van de aarde en waarin we recht doen aan alle sociale rechten die we willen veilig stellen.""",Volgens Ouwehand is dat nodig om te zorgen voor gezond en betaalbaar voedsel voor iedereen.,L,"De PvdD bepleit een zeer sterke krimp van de veestapel (-75 % in twee jaar) om de landbouw binnen de draagkracht van de aarde te brengen en gezond, betaalbaar voedsel te garanderen. Dat past duidelijk bij het bevorderen van duurzame, milieuvriendelijke landbouw en het terugdringen van intensieve veehouderij."
6,8893,b108eadf74c637825e81896681bfae2224dca55e0328a9688cd44740-3-Overig,Overig,Agriculture,2,N,1.0,"Hoewel de partijleider in debatten aangeeft dat hij de stikstofdoelen niet wil vastleggen op een jaartal, zegt Kamerlid en landbouwwoordvoerder Laura Bromet juist dat halvering van de stikstofuitstoot in 2030 wat haar betreft wél overeind staat.",Den Haag De stikstofkoers die PvdA/GL’er Frans Timmermans voert blijkt in de eigen gelederen niet te worden gepruimd.,De vorige coalitie wilde de stikstofuitstoot versneld halveren.,L,Het gemarkeerde Kamerlid Laura Bromet stelt dat de halvering van de stikstofuitstoot in 2030 overeind moet blijven. Dat betekent een sterke reductie van emissies uit de landbouw en past bij de inzet op verduurzaming van de sector. Daarmee schaart zij zich duidelijk aan de kant van duurzame landbouw.
7,5666,6881c4c4e4464dd3c00aa91e9bbff2ba61409f146803de7835440f16-6-D66,D66,Agriculture,2,N,1.0,"In Leiden oogsten partijen als GroenLinks-PvdA, Volt en D66 applaus, in Dronten kan alleen BBB-partijleider Caroline van der Plas op bijval rekenen.",Ga vervolgens naar een verkiezingsdebat voor jonge boeren in Dronten en hoor hoe diezelfde klimaatambities hun grote zorgen baren.,"„Zij geeft je het gevoel dat je gezien wordt”, zegt een jonge vrouw in het publiek.",L,"In de tekst wordt D66 genoemd in één adem met GroenLinks-PvdA en Volt die in Leiden applaus krijgen voor hun ‘klimaatambities’. Die ambities worden door jonge boeren juist gezien als bedreigend; dit duidt erop dat D66 inzet op strengere klimaat- en dus verduurzamingsmaatregelen in de landbouw. Dit past bij de dimensie ‘duurzame landbouw’ (terugdringen uitstoot, verduurzamen sector) en niet bij het behoud van traditionele, intensieve landbouw."
8,4329,4c9c5c55356f46153c0eb2d22ad19580c5eb1d38facd23468107f4b8-40-D66,D66,Agriculture,4,L,0.75,"Jetten zei ’een beetje teleurgesteld’ te zijn in de linkse leider, die volgens hem tijdens de campagne ’de stikstofdoelen al heeft weggegeven’.",Rob Jetten (D66) zocht op zijn beurt de confrontatie met Frans Timmermans (PvdA/GL) over het klimaatbeleid.,Dat leidde weer tot teleurstelling bij Timmermans:,L,"Jetten verwijt Timmermans dat hij de stikstofdoelen heeft weggegeven. D66 hecht dus grote waarde aan het handhaven van strenge stikstofreductiedoelen, wat hoort bij het terugdringen van uitstoot en het bevorderen van duurzamere landbouw. Dit plaatst D66 duidelijk in het kamp dat inzet op duurzame landbouw."
9,2517,2e659116555e7c04739ffe8c27c3bb569555a7e3a9545311b15036e1-29-CDA,CDA,Agriculture,2,N,1.0,Eerste Kamerlid Theo Rietkerk uit Kampen kent hem goed uit hun gezamenlijke CDA-verleden.,"Daarmee dwong hij respect af in de landbouwsector, die hem herinnert als een 'agrarisch icoon'.","""Hij had niet alleen veel kennis, maar was bovenal heel vriendelijk"", zegt Rietkerk.",N,"In de zinnen wordt alleen verteld dat iemand binnen de landbouwsector veel kennis en een vriendelijk karakter had en als ‘agrarisch icoon’ wordt herinnerd. Er staat niets over het steunen van duurzame of juist traditionele landbouw, noch over beleid voor plattelandsgemeenschappen. Het geeft dus geen inhoudelijk politiek standpunt van het CDA over Landbouw & Platteland."
