jobid,unit_id,topic,text,majority,agreement,Nel,Nisanur
559,1dc8c2634a2a9788065f47a85a4a13b41462c4e9c9a3616a484f5dc1-10-Overig,Environment,"Toezichthouder ACM bepaalde in maart 2021 op aangeven van Eric Wiebes, de toenmalige VVD-minister van Economische Zaken en Klimaat, dat het afkoppelen gratis moest worden.Verduurzamen en een gasloos leven was immers al duur genoeg, zo redeneerde de **minister**.""Op dit moment komen",L,1,L,L
559,1dc8c2634a2a9788065f47a85a4a13b41462c4e9c9a3616a484f5dc1-9-Overig,Environment,"Tot 2021 betaalde iemand die van het gas af wilde 700 euro.Toezichthouder ACM bepaalde in maart 2021 op aangeven van Eric Wiebes, de toenmalige **VVD-minister** van Economische Zaken en Klimaat, dat het afkoppelen gratis moest worden.Verduurzamen en een gasloos leven was immers al duur genoeg, zo redeneerde de minister.",L,1,L,L
559,20b68ffb43d3459dc55b75d1ed654a697a60196d4e473026bb30b1d4-103-GL/PvdA,Environment,Green Deal voor elkaar kreeg.Bij de Europese verkiezingen van 2019 was **Timmermans** met succes **PvdA-lijsttrekker**.Vanwege al zijn ervaring bij de PvdA en zijn affiniteit met GroenLinks-thema's als klimaat en Europa wordt hij gezien als ideale lijsttrekker van de nieuwe linkse samenwerking.,L,0.5,L,N
559,20b68ffb43d3459dc55b75d1ed654a697a60196d4e473026bb30b1d4-103-Overig,Environment,Green Deal voor elkaar kreeg.Bij de Europese verkiezingen van 2019 was Timmermans met succes **PvdA-lijsttrekker**.Vanwege al zijn ervaring bij de PvdA en zijn affiniteit met GroenLinks-thema's als klimaat en Europa wordt hij gezien als ideale lijsttrekker van de nieuwe linkse samenwerking.,L,0.5,L,N
559,20b68ffb43d3459dc55b75d1ed654a697a60196d4e473026bb30b1d4-107-GL/PvdA,Environment,"Zijn belangrijkste thema is de aanpak van de klimaatcrisis, waarbij de lasten eerlijk worden verdeeld.**GroenLinks** en de **PvdA** doen voor het eerst samen mee aan de verkiezingen.Ze willen de versnippering tegengaan en hopen als links blok kans te maken op regeringsdeelname.",L,1,L,L
559,20b68ffb43d3459dc55b75d1ed654a697a60196d4e473026bb30b1d4-114-GL/PvdA,Environment,"De partij was aanvankelijk duidelijk linkser dan de PvdA, maar is meer naar het midden opgeschoven.**PvdA-coryfee** Frans **Timmermans** is tot lijsttrekker gekozen, omdat hij als Europese 'klimaatpaus' ook de GL-kiezers aanspreekt.Frans Timmermans is tussen 08.30 en 09.00 te horen op in het NOS Radio 1 Journaal en vanaf 09.15 uur beantwoordt hij vragen op NOS.nl 07:00",L,1,L,L
559,20b68ffb43d3459dc55b75d1ed654a697a60196d4e473026bb30b1d4-46-GL/PvdA,Environment,"Voor hem is de samenwerking van de twee linkse partijen geslaagd als die meer zetels oplevert dan de PvdA en GroenLinks nu samen in de Kamer hebben.Dat zijn er zeventien, volgens de laatste Peilingwijzer staat **GroenLinks-PvdA** op 21-25 zetels .Timmermans voert campagne op het thema klimaat, waarbij hij benadrukt dat iedereen moet kunnen meedoen.",L,0.5,L,N
559,20b68ffb43d3459dc55b75d1ed654a697a60196d4e473026bb30b1d4-47-GL/PvdA,Environment,"Dat zijn er zeventien, volgens de laatste Peilingwijzer staat GroenLinks-PvdA op 21-25 zetels .**Timmermans** voert campagne op het thema klimaat, waarbij hij benadrukt dat iedereen moet kunnen meedoen.""Wij willen klimaatbeleid koppelen aan sociaal beleid.",L,1,L,L
559,20b68ffb43d3459dc55b75d1ed654a697a60196d4e473026bb30b1d4-52-GL/PvdA,Environment,"""Daardoor houden huurders meer geld over in hun portemonnee, want de energierekening wordt substantieel lager.""Mocht zijn partij in een nieuw kabinet komen, dan wil **Timmermans** in elk geval voor elkaar krijgen dat de armoede in Nederland aan het eind van de kabinetsperiode is gehalveerd.""Daarover moeten we afspraken kunnen maken.""",L,0.5,N,L
559,2507c6d028b79c0555aa3f11fef3862667d8feca21620a5ae425fd61-183-Volt,Environment,"De lijsttrekkers van Volt, Denk en de SGP hebben hun stem uitgebracht.Laurens **Dassen** (**Volt**) stemde in zijn woonplaats Den Haag bij het voorlichtingsinstituut Prodemos.Op X roept hij op om te stemmen voor ""een groen, sociaal, veilig en toekomstgericht Nederland en Europa"".",L,1,L,L
559,51ea1cf98bc0bf628305249fdb82a1dba8de1fe5b3f91eb062f218aa-263-Overig,Environment,"Maar of de ene brogem of de andere brogem het gaat regelen, dat maakt me niet uit.Eigenlijk moeten ze mij **minister-president** maken.Ik zou veel belasting eraf halen, lekker de gaskraan opengooien.",R,1,R,R
559,5e6d54789414d202c857cf8a776519af97bee0a41638d69454b66539-25-VVD,Environment,"Althans, bewoners en bestuurders gaven hem het voordeel van de twijfel.Eindelijk een minister, zo klinkt het, een **VVD’er** nota bene, die kiest voor de leefomgeving, voor de mensen, en niet voor de luchtvaartsector.De teleurstelling is dinsdag groot als blijkt dat de krimp wordt opgeschort.",L,0.5,N,L
559,5e6d54789414d202c857cf8a776519af97bee0a41638d69454b66539-77-Overig,Environment,"Hij heeft weliswaar het eerste deel van zijn plannen opgeschort, maar deel twee en drie staan nog steeds op de planning.Voor het tweede deel – maatregelen om de geluidshinder verder te beperken – is de **minister** wel een EU-procedure begonnen.Op 1 september heeft Harbers dit plan naar Brussel gestuurd.",L,0.5,N,L
559,5ea2bcbf209d0471273f1cf3ac9ff471d1de491965a8af61eb4e3cd1-14-BBB,Environment,"Hij wil zijn voorstel binnenkort bespreken met Provinciale Staten.Vermoedelijk kan het daar in ieder geval op steun rekenen van zijn eigen partij **BBB**, die al langer pleit voor maatregelen tegen de wolf.Als onderdeel van het voorstel maakt Zoet ook 1 miljoen euro vrij voor de preventie van overlast door wolven.",R,1,R,R
559,5ea2bcbf209d0471273f1cf3ac9ff471d1de491965a8af61eb4e3cd1-22-Overig,Environment,NA,N,1,N,N
559,5ea2bcbf209d0471273f1cf3ac9ff471d1de491965a8af61eb4e3cd1-4-BBB,Environment,"Met het nieuwe plan kiest de provincie Gelderland opnieuw voor de vlucht vooruit in de strijd tegen de wolf, die met name rond de Veluwe steeds meer overlast veroorzaakt.Gedeputeerde Harold Zoet (Landbouw en Natuur, **BBB**) schrijft in een brief aan Provinciale Staten dat wolven in Nederland dit jaar al 190 dieren hebben gedood, waarvan 132 sinds medio augustus.Eerdere plannen om de roofdieren met paintballgeweren op afstand te houden, sneuvelden bij de rechter.",N,0.5,N,R
559,5f46ec60d46a5c0e8cc14c22e5a92badd450bbe183b6dd3ca819ba19-41-GL/PvdA,Environment,"Daarom zouden deze verkiezingen ook klimaatverkiezingen genoemd kunnen worden.Met Frans **Timmermans**, de architect van de Europese Green Deal, als de Groene Paus van Brussel.Hij leidt nu een rood-groene campagne in het land van de boerenprotesten tegen het stikstofbeleid.",L,0.5,L,N
559,694f646c99f52dea1a6abbbee4788e1feca561988eb1123b1f0678b7-20-GL/PvdA,Environment,Green Deal voor elkaar kreeg.Bij de Europese verkiezingen van 2019 was **Timmermans** met succes **PvdA-lijsttrekker**.Vanwege al zijn ervaring bij de PvdA en zijn affiniteit met GroenLinks-thema's als klimaat en Europa wordt hij gezien als ideale lijsttrekker van de nieuwe linkse samenwerking.,L,0.5,L,N
559,694f646c99f52dea1a6abbbee4788e1feca561988eb1123b1f0678b7-20-Overig,Environment,Green Deal voor elkaar kreeg.Bij de Europese verkiezingen van 2019 was Timmermans met succes **PvdA-lijsttrekker**.Vanwege al zijn ervaring bij de PvdA en zijn affiniteit met GroenLinks-thema's als klimaat en Europa wordt hij gezien als ideale lijsttrekker van de nieuwe linkse samenwerking.,L,0.5,L,N
559,694f646c99f52dea1a6abbbee4788e1feca561988eb1123b1f0678b7-30-GL/PvdA,Environment,"GroenLinks is veel jonger, in 1990 ontstaan door een fusie van vier kleine linkse partijen uit de hoek van de vredesbeweging.De partij was aanvankelijk duidelijk linkser dan de **PvdA**, maar is meer naar het midden opgeschoven.PvdA-coryfee Frans Timmermans is tot lijsttrekker gekozen, omdat hij als Europese 'klimaatpaus' ook de GL-kiezers aanspreekt.",L,1,L,L
559,694f646c99f52dea1a6abbbee4788e1feca561988eb1123b1f0678b7-31-GL/PvdA,Environment,"De partij was aanvankelijk duidelijk linkser dan de PvdA, maar is meer naar het midden opgeschoven.**PvdA-coryfee** Frans **Timmermans** is tot lijsttrekker gekozen, omdat hij als Europese 'klimaatpaus' ook de GL-kiezers aanspreekt.Frans Timmermans is tussen 08.30 en 09.00 te horen op in het NOS Radio 1 Journaal en vanaf 09.15 uur beantwoordt hij vragen op NOS.nl 07:00",L,1,L,L
559,7b1258a448cea928311a203b1fdcd8f365e228b1bd34c9fee9998172-232-PvdD,Environment,"In het programma sprak ze verder haar voorkeur uit om met BBB, NSC en mogelijk het CDA te gaan regeren.In de ochtend zat Esther **Ouwehand** van de Partij voor de **Dieren** bij de NOS en die sprak haar vrees uit dat uiteindelijk te weinig partijen zich zullen inzetten voor de natuur.Ze krabbelen volgens haar terug als puntje bij paaltje komt.",L,1,L,L
559,7b1258a448cea928311a203b1fdcd8f365e228b1bd34c9fee9998172-33-BBB,Environment,"Op dat punt is het coalitieakkoord in Noord-Brabant geklapt;**BBB** wilde die uitzondering van tafel.""Het is een volledig oneerlijke behandeling.",N,1,N,N
559,7b1258a448cea928311a203b1fdcd8f365e228b1bd34c9fee9998172-39-D66,Environment,"het zit hier op slot, wij gaan niet wachten op Den Haag, we gaan zelf aan de slag.""**Jetten** (**D66**) denkt er ook zo over:""Ik begrijp dat de provincie Brabant de keuze heeft gemaakt, we willen hier huizen en wegen bouwen, dus dan moet je de stikstofuitstoot aanpassen.",L,0.5,N,L
