jobid,unit_id,topic,text,majority,agreement,Nisanur,n.p.reesink@student.vu.nl
630,23898bf58d35f95f438910fd86ff9bdc2a47052f6a3c235299d3f894-70-Denk,Economic,"Maar, zeggen tegenstanders, de nieuwe regels zitten ook gewoon niet goed in elkaar.Een kantoor is misschien nog te doen, maar **denk** eens aan de bouw, fabrieken, of mensen die aan het spoor werken.Hoe moeten zij hun bekers in de vaatwasser zetten?",N,1,N,N
630,265c9b8d1cedf5d3844f078d3de0f48ff69d0da922d2c0e91975fbba-1-VVD,Economic,NA,N,1,N,N
630,265c9b8d1cedf5d3844f078d3de0f48ff69d0da922d2c0e91975fbba-115-VVD,Economic,"""Je moet het laten zien.Dat is echt een **VVD-houding**, daarom voel ik mij er zo thuis.Wij hebben het niet over quota en vrouwen.",N,1,N,N
630,265c9b8d1cedf5d3844f078d3de0f48ff69d0da922d2c0e91975fbba-96-Overig,Economic,"""Ik zit nu op een plek, niet eens als lijsttrekker maar vooral als minister, dat ik daar heel veel oog voor heb.Niet alle sollicitanten komen bij mij als **minister** aan tafel.Maar iedereen moet een eerlijke kans krijgen.""",L,0.5,L,N
630,2e091f75e2d4c5b95a1f2ad1fa7610a7f4c363b2315e706258bac522-80-SGP,Economic,"Ze is blij dat ze al een nieuwe generatie mannen in de reformatorische wereld ziet opstaan 'die de balans tussen werk en thuis zoekt, die niet meer zo snel én gemeenteraadslid wil zijn én ouderling'.Maar, zegt de **SGP-wethouder**, ze wil ervoor waken een nieuwe norm te stellen.Vrouwen en mannen hóeven van haar niet allebei te werken, vrouwen hóeven niet naar de top, mannen hóeven niet een deel van de week met de kinderen te zijn.",N,1,N,N
630,2e091f75e2d4c5b95a1f2ad1fa7610a7f4c363b2315e706258bac522-82-SGP,Economic,"Vrouwen en mannen hóeven van haar niet allebei te werken, vrouwen hóeven niet naar de top, mannen hóeven niet een deel van de week met de kinderen te zijn.Keuzevrijheid, daar draait het voor de **SGP-politicus** om.En dat kan ook betekenen dat de man het geld verdient, en de vrouw geen betaald werk heeft.",N,1,N,N
630,37ac044cd72f9712bc97515f3e627917a9e60ccb80fabe6bf1ec10da-36-CU,Economic,"Die debatteren in drietallen.Bij1, **CU**, FvD gaan in debat over arbeidsmigratie.Volt, SGP, BVNL over Wonen en Denk, CU, JA21 over geldzorgen.",N,1,N,N
630,37ac044cd72f9712bc97515f3e627917a9e60ccb80fabe6bf1ec10da-37-CU,Economic,"Bij1, CU, FvD gaan in debat over arbeidsmigratie.Volt, SGP, BVNL over Wonen en Denk, **CU**, JA21 over geldzorgen.Het tweede deel begint na na het NOS Journaal van 20.00 uur en is met de negen grootste partijen.",N,1,N,N
630,37ac044cd72f9712bc97515f3e627917a9e60ccb80fabe6bf1ec10da-37-Denk,Economic,"Bij1, CU, FvD gaan in debat over arbeidsmigratie.Volt, SGP, BVNL over Wonen en **Denk**, CU, JA21 over geldzorgen.Het tweede deel begint na na het NOS Journaal van 20.00 uur en is met de negen grootste partijen.",N,1,N,N
630,37ac044cd72f9712bc97515f3e627917a9e60ccb80fabe6bf1ec10da-37-JA21,Economic,"Bij1, CU, FvD gaan in debat over arbeidsmigratie.Volt, SGP, BVNL over Wonen en Denk, CU, **JA21** over geldzorgen.Het tweede deel begint na na het NOS Journaal van 20.00 uur en is met de negen grootste partijen.",N,1,N,N
630,37ac044cd72f9712bc97515f3e627917a9e60ccb80fabe6bf1ec10da-40-CDA,Economic,"Ook zij debatteren in drietallen:VVD, PVV, PvdD debatteren over spanningen in de samenleving, NSC, **CDA**, SP over de portemonnee.GroenLinks-PvdA, D66 en BBB spreken over klimaat.",N,1,N,N
630,37ac044cd72f9712bc97515f3e627917a9e60ccb80fabe6bf1ec10da-40-NSC,Economic,"Ook zij debatteren in drietallen:VVD, PVV, PvdD debatteren over spanningen in de samenleving, **NSC**, CDA, SP over de portemonnee.GroenLinks-PvdA, D66 en BBB spreken over klimaat.",N,1,N,N
630,4337d484638861bb50598b0f858d3de56b42db49856cedb87c31c16b-81-VVD,Economic,"Ik vind alle belastingen te hoog, gewoon, belastingen in het algemeen.Ik ben zelf bij de **VVD** uitgekomen.Mijn moeder stemt op een andere partij.",N,0.5,R,N
630,584a5a193e458b35dc9f8b9a7b7b2703a9223e639300f6bb236a4c4a-20-D66,Economic,"Hubert Roest, Den HaagIn de partijprogramma's valt op dat GroenLinks-PvdA, maar ook **D66**, belastingen voor de bedrijven (mkb) fors willen verhogen.En dan vervolgens zeggen dat men zo bezorgd is over de koopkracht van huishoudens.",L,0.5,R,L
630,584a5a193e458b35dc9f8b9a7b7b2703a9223e639300f6bb236a4c4a-20-GL/PvdA,Economic,"Hubert Roest, Den HaagIn de partijprogramma's valt op dat **GroenLinks-PvdA**, maar ook D66, belastingen voor de bedrijven (mkb) fors willen verhogen.En dan vervolgens zeggen dat men zo bezorgd is over de koopkracht van huishoudens.",L,0.5,R,L
