jobid,unit_id,topic,text,majority,agreement,Nel,Nisanur
557,02b021e57432a57bbb5262a0aa2c880e078b1e9509d7c1e0e5e6c862-12-Overig,Environment,"Tot 2021 betaalde iemand die van het gas af wilde 700 euro.Toezichthouder ACM bepaalde in maart 2021 op aangeven van Eric Wiebes, de toenmalige **VVD-minister** van Klimaat, dat het afkoppelen gratis moest worden:verduurzamen was immers al duur genoeg.",L,1,L,L
557,02b021e57432a57bbb5262a0aa2c880e078b1e9509d7c1e0e5e6c862-12-VVD,Environment,"Tot 2021 betaalde iemand die van het gas af wilde 700 euro.Toezichthouder ACM bepaalde in maart 2021 op aangeven van Eric Wiebes, de toenmalige **VVD-minister** van Klimaat, dat het afkoppelen gratis moest worden:verduurzamen was immers al duur genoeg.",L,1,L,L
557,19e195530a5566647c50aeae303cf720c1c93909fa886356e974dfcf-51-BBB,Environment,hij regeert liever over rechts dan over links.Jullie weten wat het betekent als hij met VVD en **BBB** en waarschijnlijk toch ook Geert Wilders (want anders geen meerderheid) een kabinet vormt.Natuur en klimaat zullen de eerste en grootste slachtoffers zijn.,N,0.5,R,N
557,19e195530a5566647c50aeae303cf720c1c93909fa886356e974dfcf-51-PVV,Environment,hij regeert liever over rechts dan over links.Jullie weten wat het betekent als hij met VVD en BBB en waarschijnlijk toch ook Geert **Wilders** (want anders geen meerderheid) een kabinet vormt.Natuur en klimaat zullen de eerste en grootste slachtoffers zijn.,N,0.5,R,N
557,19e195530a5566647c50aeae303cf720c1c93909fa886356e974dfcf-51-VVD,Environment,hij regeert liever over rechts dan over links.Jullie weten wat het betekent als hij met **VVD** en BBB en waarschijnlijk toch ook Geert Wilders (want anders geen meerderheid) een kabinet vormt.Natuur en klimaat zullen de eerste en grootste slachtoffers zijn.,N,0.5,R,N
557,19e195530a5566647c50aeae303cf720c1c93909fa886356e974dfcf-55-GL/PvdA,Environment,"Nog nooit was het zo cruciaal voor natuur, dieren én mensen dat een grote groene partij meeregeert.Jullie snappen dat dit alleen nog gebeurt als **Groenlinks-PvdA** de grootste wordt.Als jullie partijen voor één keer ieder een zetel willen 'lenen' dan zijn de vijf extra zetels er die nodig zijn om dat te bereiken.",L,0.5,L,N
557,1c1c6fab74079c10ef47c9fee9c004c11e63eaded615873c60958d02-102-PvdD,Environment,Sinds 2019 is ze fractievoorzitter.**Ouwehand** staat bekend als gedreven en fel in het debat.Ze pleit voor radicale veranderingen in het klimaatbeleid en voor dierenrechten.,L,0.5,L,N
557,1c1c6fab74079c10ef47c9fee9c004c11e63eaded615873c60958d02-109-PvdD,Environment,Een aangetreden nieuw bestuur en ook de overgrote meerderheid van de leden wilden wél door met Ouwehand.De Partij voor de **Dieren** bestaat sinds 2002.Een van de uitgangspunten is dat er meer aandacht moet zijn voor het welzijn van dieren en dat het beleid milieuvriendelijker moet worden.,L,1,L,L
557,1c1c6fab74079c10ef47c9fee9c004c11e63eaded615873c60958d02-41-PvdD,Environment,09:30**Ouwehand**:niet 'terugonderhandelen' met de natuur,L,1,L,L
557,1c1c6fab74079c10ef47c9fee9c004c11e63eaded615873c60958d02-44-Overig,Environment,"""Je kunt niet terugonderhandelen met de natuur.""Dat zei Partij voor de **Dieren-lijsttrekker** Ouwehand in het NOS Radio 1 Journaal, waar ze vanmorgen te gast was.Volgens haar geven veel partijen een beetje toe met uitspraken dat het belangrijk is om de natuur te redden, maar krabbelen ze terug als puntje bij paaltje komt:",L,1,L,L
