jobid,unit_id,topic,text,majority,agreement,Amani,Nisanur
541,030cd8a455a170b9fdbe8c869a3676a111345fb22d1446d6a3a1ffe2-19-PVV,Immigration,Karel Pander GarypEr wordt gedaan alsof **Wilders** bekeerd is van zijn opvattingen over de islam.Maar daar is geen sprake van.,N,1,N,N
541,0464b3a630e95ef14a2197297657658bb44f6cad2edb944254cea020-24-GL/PvdA,Immigration,"Vleestaks- en hoofddoek-standpunten opgegevenOp andere onderwerpen heeft **Timmermans** behoorlijk concessies moeten doen om met **GroenLinks** tot een gezamenlijk verkiezingsprogramma te komen.Zo was de PvdA eerder voor een gedeeltelijk boerkaverbod, mede omdat de boerka ""de mogelijkheid tot ontplooiing en participatie"" van vrouwen zou ontnemen.",N,1,N,N
541,07cbf4cc1a60a980d0613e96b7b7dfc684b6082587f2111b085a76ce-2-CU,Immigration,"Zegt hem dat nog iets, de Barmhartige Samaritaan?'SGP wil christelijke asielzoekers, **CU** geen rem op gezinshereniging' (AD 16-11).Inzetten op christelijke asielzoekers?",L,1,L,L
541,07cbf4cc1a60a980d0613e96b7b7dfc684b6082587f2111b085a76ce-2-SGP,Immigration,"Zegt hem dat nog iets, de Barmhartige Samaritaan?'**SGP** wil christelijke asielzoekers, CU geen rem op gezinshereniging' (AD 16-11).Inzetten op christelijke asielzoekers?",L,1,L,L
541,07cbf4cc1a60a980d0613e96b7b7dfc684b6082587f2111b085a76ce-22-GL/PvdA,Immigration,"Hoe komt het toch dat de serieuze media Pieter Omtzigt bevragen over zijn weigering om de PVV voor de verkiezingen al uit te sluiten voor een eventuele samenwerking?Temeer omdat die vraag niet wordt gesteld aan Frans **Timmermans** aangaande een uitsluiting van de SP voor een mogelijke samenwerking.Immers, de SP is ook voor een al dan niet tijdelijke stop op arbeidsmigratie, net als de PVV.",N,1,N,N
541,07cbf4cc1a60a980d0613e96b7b7dfc684b6082587f2111b085a76ce-22-SP,Immigration,"Hoe komt het toch dat de serieuze media Pieter Omtzigt bevragen over zijn weigering om de PVV voor de verkiezingen al uit te sluiten voor een eventuele samenwerking?Temeer omdat die vraag niet wordt gesteld aan Frans Timmermans aangaande een uitsluiting van de **SP** voor een mogelijke samenwerking.Immers, de SP is ook voor een al dan niet tijdelijke stop op arbeidsmigratie, net als de PVV.",R,1,R,R
541,07cbf4cc1a60a980d0613e96b7b7dfc684b6082587f2111b085a76ce-23-PVV,Immigration,"Temeer omdat die vraag niet wordt gesteld aan Frans Timmermans aangaande een uitsluiting van de SP voor een mogelijke samenwerking.Immers, de SP is ook voor een al dan niet tijdelijke stop op arbeidsmigratie, net als de **PVV**.Ron Breda, Capelle aan den IJssel",R,1,R,R
541,07cbf4cc1a60a980d0613e96b7b7dfc684b6082587f2111b085a76ce-23-SP,Immigration,"Temeer omdat die vraag niet wordt gesteld aan Frans Timmermans aangaande een uitsluiting van de SP voor een mogelijke samenwerking.Immers, de **SP** is ook voor een al dan niet tijdelijke stop op arbeidsmigratie, net als de PVV.Ron Breda, Capelle aan den IJssel",R,1,R,R
541,07cbf4cc1a60a980d0613e96b7b7dfc684b6082587f2111b085a76ce-4-SGP,Immigration,Inzetten op christelijke asielzoekers?Misschien moet Chris **Stoffer** van de **SGP** de gelijkenis van de Barmhartige Samaritaan eens goed lezen.Hij weet die ongetwijfeld wel te vinden.,N,1,N,N
541,07d34b08f9202728be73c36a42b03c1b48713047bb57cf6a32f752e9-23-CDA,Immigration,"Nog voor verkiezingsprogramma en kandidaten gepresenteerd waren, deed NSC in de peilingen al mee in de strijd bovenin.Recent verscheen het programma, dat op veel thema's dicht bij zijn oude partij het **CDA** ligt.NSC wil onder meer strengere migratieregels en soepelere regels voor stikstof.",N,0.5,N,R
