jobid,unit_id,topic,text,majority,agreement,Amani,Nel,Nisanur,Sascha,n.p.reesink@student.vu.nl
554,11a3a1f1b1d675b5cc67fc97492330b4090920a51bb752f5e0f99950-50-Overig,Education,"Dat de overheid een stagevergoeding voor studenten niet verplicht wil gaan stellen, is een verkeerde gang van zaken.De **minister** van Onderwijs is verantwoordelijk voor ’goed onderwijs’ en daarbij hoort als onderdeel een stage.De verantwoordelijke minister moet er dan ook voor zorgen dat zo’n stage wordt verricht tegen een redelijke vergoeding.",N,0.6,L,N,N,L,N
554,11a3a1f1b1d675b5cc67fc97492330b4090920a51bb752f5e0f99950-51-Overig,Education,"De minister van Onderwijs is verantwoordelijk voor ’goed onderwijs’ en daarbij hoort als onderdeel een stage.De verantwoordelijke **minister** moet er dan ook voor zorgen dat zo’n stage wordt verricht tegen een redelijke vergoeding.D. Venema, Dokkum",N,0.6,L,N,N,L,N
554,176e072e93d950740c03b18f64ea5fd1db2544f3189d4aaa4a076668-35-D66,Education,"Hoe hoog mag de staatsschuld oplopen?""De **D66'er** snapt de kritiek ergens wel.De partij investeert in de eigen plannen traditiegetrouw veel geld in onderwijs.",L,1,L,L,L,L,L
554,2def510fa3389deed3eb595eab85963aa322a1f9f48788d9d138131b-13-Overig,Education,"Ook wanneer de smartphone nodig is voor de lesinhoud, wordt een uitzondering gemaakt, bijvoorbeeld bij het vak mediawijsheid.Volgens de **minister** zal de mobiele telefoon in het speciaal onderwijs ondanks de strengere regels nog wel gebruikt worden, omdat kinderen in deze onderwijssector vanwege medische redenen immers vaker afhankelijk zijn van het apparaat.De scholenkoepel PO-raad omschrijft het verbod als een „duidelijke politieke wens”.",N,1,N,N,N,N,N
554,2def510fa3389deed3eb595eab85963aa322a1f9f48788d9d138131b-23-CDA,Education,"De Tweede Kamer wilde er eerst niet aan:een motie van het **CDA** haalde het vorig jaar niet.Ook in Zweden, Italië en Frankrijk geldt in het primair en voortgezet onderwijs een smartphoneverbod.",N,1,N,N,N,N,N
554,2def510fa3389deed3eb595eab85963aa322a1f9f48788d9d138131b-3-VVD,Education,"Na maandenlange discussies komt er in 2024-2025 ook in Nederland een totaalverbod op mobiele telefoons in de klas.,Vanaf het schooljaar 2024-2025 moeten leerlingen op basisscholen en in het speciaal onderwijs het zonder hun smartphone in de klas stellen.Dat heeft demissionair minister Mariëlle Paul (Primair en Voortgezet Onderwijs, **VVD**) dinsdag bekendgemaakt in een brief aan de Tweede Kamer.Eerder dit jaar kondigde het ministerie van Onderwijs al de komst van een landelijke richtlijn aan om de smartphone uit de klas te weren.",N,1,N,N,N,N,N
554,523d8a8ec4e21826e77f967823d264ad42882eb37d759e0bb0ae8db3-17-GL/PvdA,Education,"Minder Engels op de universiteit.Daarin is Omtzigt veel duidelijker dan mensen als Frans **Timmermans**, die alleen maar prachtige volzinnen produceert.Van mij mag NSC de grootste partij worden.",N,1,N,N,N,N,N
554,523d8a8ec4e21826e77f967823d264ad42882eb37d759e0bb0ae8db3-17-NSC,Education,"Minder Engels op de universiteit.Daarin is **Omtzigt** veel duidelijker dan mensen als Frans Timmermans, die alleen maar prachtige volzinnen produceert.Van mij mag NSC de grootste partij worden.",N,0.6,N,R,R,N,N
554,52a67078847ecc4d5a6bfd1aa7c95178ec9dbbc084c67633e8785752-21-D66,Education,"De meeste eensgezindheid lijkt te bestaan over het hoge aantal buitenlandse studenten.Sinds zijn aantreden gebruikte minister Robbert Dijkgraaf van Onderwijs (**D66**) de metafoor van een auto waarin wel het gaspedaal was gevonden, maar de rem en het stuur buiten bereik bleven.Inmiddels heeft hij een wetsvoorstel gemaakt waarin beperkingen worden gesteld aan het aantal Engelstalige opleidingen.",R,0.8,R,R,R,N,R
554,52a67078847ecc4d5a6bfd1aa7c95178ec9dbbc084c67633e8785752-21-Overig,Education,"De meeste eensgezindheid lijkt te bestaan over het hoge aantal buitenlandse studenten.Sinds zijn aantreden gebruikte **minister** Robbert Dijkgraaf van Onderwijs (D66) de metafoor van een auto waarin wel het gaspedaal was gevonden, maar de rem en het stuur buiten bereik bleven.Inmiddels heeft hij een wetsvoorstel gemaakt waarin beperkingen worden gesteld aan het aantal Engelstalige opleidingen.",R,0.8,R,R,R,N,R
554,5ab3f2a93204d31af1f23587cc69423e5ed2da71b3a3092a318ab11b-24-NSC,Education,"Maar waar ik me nu écht aan erger zijn de spotgoedkope verkiezingspraatjes van onder anderenPieter **Omtzigt** (**NSC**) en Frans Timmermans (PvdA/GL), die studenten beloven dat zij ervoor gaan zorgen dat de rente van de studenten uit de pechgeneratie verlaagd of kwijtgescholden wordt.De stemmen van studenten uit de pechgeneratie vertegenwoordigen zo’n tien zetels, dus voor NSC en PvdA/GL lekker goedkoop scoren.",L,1,L,L,L,L,L
554,5ab3f2a93204d31af1f23587cc69423e5ed2da71b3a3092a318ab11b-25-GL/PvdA,Education,"Pieter Omtzigt (NSC) en Frans Timmermans (PvdA/GL), die studenten beloven dat zij ervoor gaan zorgen dat de rente van de studenten uit de pechgeneratie verlaagd of kwijtgescholden wordt.De stemmen van studenten uit de pechgeneratie vertegenwoordigen zo’n tien zetels, dus voor NSC en **PvdA/GL** lekker goedkoop scoren.De verlaging van de rente voor de studenten moet ergens van betaald worden.",L,1,L,L,L,L,L
554,5ab3f2a93204d31af1f23587cc69423e5ed2da71b3a3092a318ab11b-25-NSC,Education,"Pieter Omtzigt (NSC) en Frans Timmermans (PvdA/GL), die studenten beloven dat zij ervoor gaan zorgen dat de rente van de studenten uit de pechgeneratie verlaagd of kwijtgescholden wordt.De stemmen van studenten uit de pechgeneratie vertegenwoordigen zo’n tien zetels, dus voor **NSC** en PvdA/GL lekker goedkoop scoren.De verlaging van de rente voor de studenten moet ergens van betaald worden.",L,1,L,L,L,L,L
554,7590757343b6751291994f0f25dff35e7eeafc9c8ab23e108c57c853-27-D66,Education,"Ze verhogen de dagtoeristenbelasting voor cruisepassagiers (van 8 naar 14 euro) en vermakelijkheidsretributie voor plezier in de openbare ruimte (met 50 cent per bezoeker van een rondvaart of groot festival).In totaal komt 3 miljoen euro vrij, waar ook GL en **D66** voorstellen voor zullen indienen tijdens het begrotingsdebat.Zo wil de D66 de lerarenbeurs herinvoeren.",L,1,L,L,L,L,L
554,7590757343b6751291994f0f25dff35e7eeafc9c8ab23e108c57c853-28-D66,Education,"In totaal komt 3 miljoen euro vrij, waar ook GL en D66 voorstellen voor zullen indienen tijdens het begrotingsdebat.Zo wil de **D66** de lerarenbeurs herinvoeren.Daarmee kunnen leraren zich blijven ontwikkelen en de partij hoopt dat ze dan niet uit het onderwijs stappen.",L,1,L,L,L,L,L
554,a2ed3e7a969ccdcccd0ea2634cc4efe4e398414b0b273a7f54031478-88-SP,Education,"En dat is wat haar betreft dan niet dat er grote distributiecentra worden neergezet, waarvoor vervolgens personeel uit het buitenland moet worden gehaald, waarvoor dan weer geen goede huisvesting is.**Marijnissen** had het ook over het leenstelstel.Ze kan er niet bij dat er tegen de 'pechgeneratie' werd gezegd dat ze geen leenangst hoefden te hebben, maar dat de rente nu toch fors omgaat.",L,1,L,L,L,L,L
554,a2ed3e7a969ccdcccd0ea2634cc4efe4e398414b0b273a7f54031478-90-Overig,Education,"Ze kan er niet bij dat er tegen de 'pechgeneratie' werd gezegd dat ze geen leenangst hoefden te hebben, maar dat de rente nu toch fors omgaat.Vrijdag schreef demissionair **minister** Dijkgraaf aan de Tweede Kamer dat hij een motie om de rente te bevriezen waarschijnlijk niet kan uitvoeren,.""En dan vind je het gek dat mensen het vertrouwen in de overheid verliezen?"", vraagt Marijnissen zich af?",N,0.6,R,N,N,N,R
554,a2ed3e7a969ccdcccd0ea2634cc4efe4e398414b0b273a7f54031478-91-SP,Education,"Vrijdag schreef demissionair minister Dijkgraaf aan de Tweede Kamer dat hij een motie om de rente te bevriezen waarschijnlijk niet kan uitvoeren,.""En dan vind je het gek dat mensen het vertrouwen in de overheid verliezen?"", vraagt **Marijnissen** zich af?07:59",N,1,N,N,N,N,N
554,b12b60b568f906c4c5a862776db1e5689d8bfbd68e9674fc4d54ce18-144-SP,Education,"En dat is wat haar betreft dan niet dat er grote distributiecentra worden neergezet, waarvoor vervolgens personeel uit het buitenland moet worden gehaald, waarvoor dan weer geen goede huisvesting is.**Marijnissen** had het ook over het leenstelstel.Ze kan er niet bij dat er tegen de 'pechgeneratie' werd gezegd dat ze geen leenangst hoefden te hebben, maar dat de rente nu toch fors omgaat.",L,1,L,L,L,L,L
554,b12b60b568f906c4c5a862776db1e5689d8bfbd68e9674fc4d54ce18-147-SP,Education,"Vrijdag schreef demissionair minister Dijkgraaf aan de Tweede Kamer dat hij een motie om de rente te bevriezen waarschijnlijk niet kan uitvoeren,.""En dan vind je het gek dat mensen het vertrouwen in de overheid verliezen?"", vraagt **Marijnissen** zich af?07:59",N,1,N,N,N,N,N
554,b68d24333ce40a4e0c383dc99a7684fa6d90ed5bd627e5ce1800519f-36-D66,Education,"Hoe hoog mag de staatsschuld oplopen?""De **D66'er** snapt de kritiek ergens wel.De partij investeert in de eigen plannen traditiegetrouw veel geld in onderwijs.",L,1,L,L,L,L,L
554,e7198c25e957dfcc7f8e1264fd719e3c17d6cda6df3bf63550bc3090-20-CDA,Education,"Voor deze kwetsbare kinderen is dat heel heftig.”De **CDA-fractie** maakt zich zorgen en pleit voor ’een ouderpanel, waarmee gemeente en vervoerder dichter bij de ouder komen te staan’.„We kunnen in een fatsoenlijk land niet toestaan dat kinderen van onderwijs verstoken blijven omdat we het leerlingenvervoer niet op orde hebben”, zegt Jorrit Koster.",N,0.8,N,N,L,N,N
554,ebc13f2fa4b73a40904f65e2350765bf642403b54324dbe77749abea-53-SP,Education,"En dat is wat haar betreft dan niet dat er grote distributiecentra worden neergezet, waarvoor vervolgens personeel uit het buitenland moet worden gehaald, waarvoor dan weer geen goede huisvesting is.**Marijnissen** had het ook over het leenstelstel.Ze kan er niet bij dat er tegen de 'pechgeneratie' werd gezegd dat ze geen leenangst hoefden te hebben, maar dat de rente nu toch fors omgaat.",L,1,L,L,L,L,L
554,ebc13f2fa4b73a40904f65e2350765bf642403b54324dbe77749abea-56-SP,Education,"Vrijdag schreef demissionair minister Dijkgraaf aan de Tweede Kamer dat hij een motie om de rente te bevriezen waarschijnlijk niet kan uitvoeren,.""En dan vind je het gek dat mensen het vertrouwen in de overheid verliezen?"", vraagt **Marijnissen** zich af?07:59",N,1,N,N,N,N,N
