jobid,unit_id,topic,text,majority,agreement,Amani,Nisanur
610,02c29e25d0564781709d11ee81c2b5d8d61f2db5e4c60394821bb50c-15-D66,Environment,"'De landelijke politiek is al bezig met dit onderwerp', zegt zij.'**D66** schrijft aan een wetsvoorstel voor de Waddenzee.De Partij voor de Dieren wil rechten voor de natuur opnemen in de Grondwet.",N,1,N,N
610,02c29e25d0564781709d11ee81c2b5d8d61f2db5e4c60394821bb50c-16-PvdD,Environment,'D66 schrijft aan een wetsvoorstel voor de Waddenzee.De Partij voor de **Dieren** wil rechten voor de natuur opnemen in de Grondwet.Deze gemeente heeft nu gezegd:,L,1,L,L
610,02c29e25d0564781709d11ee81c2b5d8d61f2db5e4c60394821bb50c-2-D66,Environment,"Eijsden-Margraten is de eerste gemeente van Nederland die rechten aan de natuur toekent.Een motie van de lokale partij PRO (een fusie van GroenLinks, PvdA en **D66**) om de natuur als rechtspersoon te erkennen, kreeg afgelopen week een meerderheid in de gemeente in het Zuid-Limburgse heuvelland.Met de status als rechtspersoon wordt de natuur door het rechtssysteem erkend als zelfstandige entiteit, net als mensen of bedrijven.",L,1,L,L
610,0a1c42e4c576f272d5b50b3b18a057ef0b8222b24dd79e5f6e9ecf07-14-GL/PvdA,Environment,StokpaardjesFrans **Timmermans** (**PvdA/GL)** heeft de oude linkse stokpaardjes weer van stal gehaald.Vooral de bedrijven moeten straks fors gaan betalen en de laagstbetaalden in sociale huurwoningen worden financieel geholpen met verduurzaming van hun woning.,L,1,L,L
610,0a8f6511b0ac4e922124b248f6d1efdbbdc9af270f78a5790e464453-48-D66,Environment,"""Twee kerncentrales maken samen net zo veel energie als alle windmolens samen in 2030.""Demissionair klimaatminister Rob **Jetten** heeft het Zeeuwse Borssele uitgekozen als mogelijke plek voor twee nieuwe kerncentrales.Daar staat al een kerncentrale, die het kabinet langer wil openhouden.",L,1,L,L
610,0c5ff28ee97f20d732110b71d7e46fbb3d22994b8a6df61162d079a6-12-Volt,Environment,"Alleen maar optimisme?Het is er de tijd niet naar, zegt **Dassen**.„Mijn optimisme haal ik uit het geloof dat we alle kennis, kunde, technologie en capaciteit hebben om de wereld ten goede te veranderen.",N,1,N,N
610,0c5ff28ee97f20d732110b71d7e46fbb3d22994b8a6df61162d079a6-22-NSC,Environment,"Waar ziet u die hang naar het verleden dan in?„Klimaatverandering is een van de grootste problemen van deze tijd, maar in zijn verkiezingsprogramma is **Omtzigt** onvoldoende in staat om daar oplossingen voor aan te dragen.Of neem Europa.",N,0.5,N,R
610,0ede332e40823fbe539b5f19a4da13abdcc10ce15186ac6eda0b16ac-211-Overig,Environment,"De overheid beheert de natuurlijke hulpbronnen, zoals de snel slinkende voorraad vis, volgens haar niet verstandig.Kemper noemt het geen toeval dat in 2019 de negen jaar eerder benoemde **minister** van Visserij van Namibië, Bernhardt Esau, en de **minister** van Justitie, Sacky Shanghala, werden gearresteerd op verdenking van corruptie.Ze zouden flinke steekpenningen hebben aangenomen van een visbedrijf uit IJsland, Samherji, in ruil voor het toekennen van visquota.",N,1,N,N
610,0ede332e40823fbe539b5f19a4da13abdcc10ce15186ac6eda0b16ac-216-Denk,Environment,"Door de coronacrisis is jarenlang niet geteld hoeveel vogels er zijn.„Ik **denk** dat er nog steeds sprake is van een afname van de populatie.In 2018 en 2019 zijn de pinguïns op Halifax Island ook nog eens getroffen door vogelgriep, die naar schatting aan zo’n zeshonderd vogels het leven kostte.”",N,1,N,N
610,0ede332e40823fbe539b5f19a4da13abdcc10ce15186ac6eda0b16ac-223-Overig,Environment,Het is een opvallende conclusie in een land waar de visserij-industrie beschikt over veel geld en machtige politieke bondgenoten.De **minister** voor milieu is er als bewindspersoon ook verantwoordelijk voor visserij.In Zuid-Afrika werken zo’n 27.000 mensen in de visindustrie.,N,1,N,N
610,0ede332e40823fbe539b5f19a4da13abdcc10ce15186ac6eda0b16ac-240-Overig,Environment,"Toch heeft het debat over het beschermen van de pinguïn in Afrika recentelijk een belangrijke wending genomen.Na lang beraad is de **minister** van Milieu van Zuid-Afrika, Barbara Creecy, de Afrikaanse pinguïn te hulp geschoten.In augustus presenteerde ze de bevindingen van een studie die een onafhankelijke groep van internationale deskundigen op haar verzoek heeft gedaan naar de invloed van visserij op de pinguïnpopulatie.",N,1,N,N
610,0ede332e40823fbe539b5f19a4da13abdcc10ce15186ac6eda0b16ac-85-Denk,Environment,"Ondanks alle inspanningen pinguïns te redden, is men bij SANCCOB uiterst somber over de overlevingskansen van de Afrikaanse pinguïn.„Ik **denk** niet dat er in Afrika nog pinguïns zullen zijn als ik met pensioen ga”, zegt Roberts.Hij is vijfendertig jaar.",N,1,N,N
610,1e571f13885dad5d7b29501469cb543a3dcbdf9e4c08f9d868a53e81-139-VVD,Environment,"Voor haarzelf haalt ze eruit dat er tijdig naar mensen moet worden geluisterd.**Yesilgöz**: ""Ik heb veel aan de keukentafel gezeten in Groningen en huilende mensen gezien.Ik heb ook gedacht: 'hoe hebben we het zover kunnen laten komen'.",N,1,N,N
610,1e571f13885dad5d7b29501469cb543a3dcbdf9e4c08f9d868a53e81-24-CDA,Environment,21:21**Bontenbal**:CDA had te weinig klimaatambities,L,1,L,L
610,1e571f13885dad5d7b29501469cb543a3dcbdf9e4c08f9d868a53e81-25-CDA,Environment,"Bontenbal:**CDA** had te weinig klimaatambitiesCDA-lijsttrekker Bontenbal zegt in het programma Khalid en Sophie dat het CDA, toen hij twee jaar geleden in de Kamer kwam, te weinig klimaatambities had.",N,0.5,R,N
610,1e571f13885dad5d7b29501469cb543a3dcbdf9e4c08f9d868a53e81-26-CDA,Environment,"CDA had te weinig klimaatambities**CDA-lijsttrekker** **Bontenbal** zegt in het programma Khalid en Sophie dat het **CDA**, toen hij twee jaar geleden in de Kamer kwam, te weinig klimaatambities had.Hij is vastbesloten om daar met zijn partij meer werk van te maken en hardere keuzes te maken.",L,0.5,N,L
610,1e571f13885dad5d7b29501469cb543a3dcbdf9e4c08f9d868a53e81-26-Overig,Environment,"CDA had te weinig klimaatambities**CDA-lijsttrekker** Bontenbal zegt in het programma Khalid en Sophie dat het CDA, toen hij twee jaar geleden in de Kamer kwam, te weinig klimaatambities had.Hij is vastbesloten om daar met zijn partij meer werk van te maken en hardere keuzes te maken.",L,1,L,L
610,1e571f13885dad5d7b29501469cb543a3dcbdf9e4c08f9d868a53e81-9-PVV,Environment,"""Andere zaken zijn belangrijker.""Nieuwsuur heeft op een rij gezet hoe het de **PVV** in Flevoland vergaat, sinds de partij daar meebestuurt in een ""groene coalitie"", en concludeert dat er flinke concessies zijn gedaan, ook op de gebieden klimaat en asiel.Zo schreef de PVV in het verkiezingsprogramma tegen ""klimaatonzin"" te zijn, maar rijdt de PVV-gedeputeerde in een elektrische auto.",L,0.5,R,L
