jobid,unit_id,topic,text,majority,agreement,Nisanur,n.p.reesink@student.vu.nl
709,382485877a0d9ef01e52f1026bd06f008c9dd32277f992eda62321fe-132-BBB,Agriculture,"Je wilt zien: verdomme, het heeft geholpen.'Zelfs nu de **BBB** de grootste stem heeft in het provinciebestuur van Overijssel, ziet de melkveehouder, wordt het oude beleid gewoon voortgezet.'Beleid verander je niet zomaar.",N,1,N,N
709,382485877a0d9ef01e52f1026bd06f008c9dd32277f992eda62321fe-136-BBB,Agriculture,"Het maakt je moedeloos.'Bodde is desondanks van zins de **BBB** trouw te blijven.Dat zal gelden voor de meeste boeren, denkt hij.",N,1,N,N
709,382485877a0d9ef01e52f1026bd06f008c9dd32277f992eda62321fe-148-Overig,Agriculture,Hij heeft er genoeg van.'Geen **minister** voor Stikstof meer.De huidige stikstofwet van tafel.,N,1,N,N
709,382485877a0d9ef01e52f1026bd06f008c9dd32277f992eda62321fe-19-BBB,Agriculture,"Letterlijk in een uithoek, ver weg van Den Haag.Als geen ander wist de **BBB** het sentiment van 'de regio' te vangen.In meer streken buiten de Randstad bleek het gevoel dat de politiek delen van Nederland lang verwaarloosd had te leven.",N,1,N,N
709,382485877a0d9ef01e52f1026bd06f008c9dd32277f992eda62321fe-36-BBB,Agriculture,"'Caroline vertolkt de stem van het platteland, zonder dure woorden.'Ook de stem van de regisseur ging in maart naar de **BBB**.Maar nu is die keuze niet vanzelfsprekend.",N,0.5,R,N
709,382485877a0d9ef01e52f1026bd06f008c9dd32277f992eda62321fe-54-BBB,Agriculture,"Aanzienlijk meer belang wordt gehecht aan de woningmarkt (42 procent), de zorg (38 procent) en asiel (35 procent).Opmerkelijk: zelfs voor de **BBB-achterban** is landbouw niet de hoogste prioriteit.'In maart zag de wereld er heel anders uit', zegt onderzoeker Asher van der Schelde van I&O Research.",N,1,N,N
709,382485877a0d9ef01e52f1026bd06f008c9dd32277f992eda62321fe-73-NSC,Agriculture,"Omtzigt.'En omdat stikstof voor **Omtzigt** niet zo'n belangrijk onderwerp is, gaat het er in debatten amper over.'Zo neemt hij de BBB de wind uit de zeilen.",N,1,N,N
709,382485877a0d9ef01e52f1026bd06f008c9dd32277f992eda62321fe-74-BBB,Agriculture,"En omdat stikstof voor Omtzigt niet zo'n belangrijk onderwerp is, gaat het er in debatten amper over.'Zo neemt hij de **BBB** de wind uit de zeilen.Van der Plas mag aan veel debatten niet meedoen, en zonder haar gaat het zelden over landbouw.",N,0.5,R,N
709,382485877a0d9ef01e52f1026bd06f008c9dd32277f992eda62321fe-75-BBB,Agriculture,"'Zo neemt hij de BBB de wind uit de zeilen.Van der **Plas** mag aan veel debatten niet meedoen, en zonder haar gaat het zelden over landbouw.BBB slaagt er ook niet meer in dat thema te agenderen.'",N,0.5,R,N
709,382485877a0d9ef01e52f1026bd06f008c9dd32277f992eda62321fe-76-BBB,Agriculture,"Van der Plas mag aan veel debatten niet meedoen, en zonder haar gaat het zelden over landbouw.**BBB** slaagt er ook niet meer in dat thema te agenderen.''Wij worden in de peilingen onderschat', zei Caroline van der Plas twee weken geleden in De Telegraaf.",N,0.5,R,N
709,382485877a0d9ef01e52f1026bd06f008c9dd32277f992eda62321fe-86-CDA,Agriculture,"'Maar in het leven van agrariërs en gemeenschappen is het thema nog lang niet weg', weet Keijzer.Tegenover zich treft ze een andere **oud-CDA'er**:Eddy van Hijum, de nummer zes van Omtzigts NSC.",N,1,N,N
709,382485877a0d9ef01e52f1026bd06f008c9dd32277f992eda62321fe-87-NSC,Agriculture,"Tegenover zich treft ze een andere oud-CDA'er:Eddy van Hijum, de nummer zes van Omtzigts **NSC**.In navolging van tal van deskundigen merkt Van Hijum op dat het BBB-programma juist op het thema stikstof tekortschiet.",L,0.5,L,N
709,382485877a0d9ef01e52f1026bd06f008c9dd32277f992eda62321fe-88-BBB,Agriculture,"Eddy van Hijum, de nummer zes van Omtzigts NSC.In navolging van tal van deskundigen merkt Van Hijum op dat het **BBB-programma** juist op het thema stikstof tekortschiet.'De uitstoot moet gewoon omlaag', zegt Van Hijum, die tot voor kort als gedeputeerde in Overijssel nog over het dossier ging.",N,0.5,R,N
709,6d559107492cf53b3d1d0f4642309278c887b32addf36185b08c7ba9-27-BBB,Agriculture,"En een lief fotootje van zijn asielkatten Noortje en Pluisje.Op de pagina van **BBB** een mooi interview met Caroline, waar alle „eeeh’s” zorgvuldig zijn weggelakt.Ik voorzie nostalgische plattelandsplaatjes; een ansichtkaart, een kerk, een kar met paard en slagerij J. van der Ven. En de rubriek ’Lieve Mona’, waarin Mona Keijzer vragen van boeren beantwoordt over hoe je een wolf afschiet.",N,0.5,R,N
709,6d559107492cf53b3d1d0f4642309278c887b32addf36185b08c7ba9-29-Denk,Agriculture,"Ik voorzie nostalgische plattelandsplaatjes; een ansichtkaart, een kerk, een kar met paard en slagerij J. van der Ven. En de rubriek ’Lieve Mona’, waarin Mona Keijzer vragen van boeren beantwoordt over hoe je een wolf afschiet.Ik **denk** dat de NSC-pagina één grijs vlak is vol inhoudelijke dossierkennis;dat de pagina van het CDA bol staat van fatsoen moet je doen, en dat we op de pagina van PvdA/GL een foto zien van Frans Timmermans op een sportveld.",N,1,N,N
709,9d5cf4bef0b4e3bd9e33ed0ec5609adea65557949f1bedb1220eba51-97-CDA,Agriculture,"„Populisten buiten dat uit, om publiciteit te trekken”, aldus Mamonova.In het Europees Parlement werpt de christen-democratische Europese Volkspartij, de moederpartij van het **CDA**, zich steeds nadrukkelijker op als boerenbelangenhartiger, waarbij ze populistische retoriek niet schuwt.Samenwerken",N,0.5,R,N
709,ab2450cfe315a130de5d24e7577bbb2a9eb23320161ca6b9a168a940-39-CU,Agriculture,"Het tempo waarin de partijen uitstoot van stikstof en broeikasgassen uit de landbouw terugdringen, verschilt.Bij D66, GroenLinks-PvdA, en Volt loopt de uitstoot meer terug dan bij **ChristenUnie** en VVD.De veehouderij zal bij die eerste drie partijen meer krimpen dan bij VVD en ChristenUnie.",N,0.5,N,R
709,ab2450cfe315a130de5d24e7577bbb2a9eb23320161ca6b9a168a940-39-D66,Agriculture,"Het tempo waarin de partijen uitstoot van stikstof en broeikasgassen uit de landbouw terugdringen, verschilt.Bij **D66**, GroenLinks-PvdA, en Volt loopt de uitstoot meer terug dan bij ChristenUnie en VVD.De veehouderij zal bij die eerste drie partijen meer krimpen dan bij VVD en ChristenUnie.",L,1,L,L
709,ab2450cfe315a130de5d24e7577bbb2a9eb23320161ca6b9a168a940-39-GL/PvdA,Agriculture,"Het tempo waarin de partijen uitstoot van stikstof en broeikasgassen uit de landbouw terugdringen, verschilt.Bij D66, **GroenLinks-PvdA**, en Volt loopt de uitstoot meer terug dan bij ChristenUnie en VVD.De veehouderij zal bij die eerste drie partijen meer krimpen dan bij VVD en ChristenUnie.",L,1,L,L
709,ab2450cfe315a130de5d24e7577bbb2a9eb23320161ca6b9a168a940-39-VVD,Agriculture,"Het tempo waarin de partijen uitstoot van stikstof en broeikasgassen uit de landbouw terugdringen, verschilt.Bij D66, GroenLinks-PvdA, en Volt loopt de uitstoot meer terug dan bij ChristenUnie en **VVD**.De veehouderij zal bij die eerste drie partijen meer krimpen dan bij VVD en ChristenUnie.",N,0.5,N,R
709,ab2450cfe315a130de5d24e7577bbb2a9eb23320161ca6b9a168a940-39-Volt,Agriculture,"Het tempo waarin de partijen uitstoot van stikstof en broeikasgassen uit de landbouw terugdringen, verschilt.Bij D66, GroenLinks-PvdA, en **Volt** loopt de uitstoot meer terug dan bij ChristenUnie en VVD.De veehouderij zal bij die eerste drie partijen meer krimpen dan bij VVD en ChristenUnie.",L,1,L,L
709,ab2450cfe315a130de5d24e7577bbb2a9eb23320161ca6b9a168a940-40-VVD,Agriculture,"Bij D66, GroenLinks-PvdA, en Volt loopt de uitstoot meer terug dan bij ChristenUnie en VVD.De veehouderij zal bij die eerste drie partijen meer krimpen dan bij **VVD** en ChristenUnie.Alle deelnemende partijen investeren in een goedkoper en beter openbaar vervoer.",L,0.5,L,R
709,b1ff7a34d907cef1e6aaa9917aecbd53bc91bf29994fb0c132c9f481-30-PvdD,Agriculture,20:43Partij voor de **Dieren**:aandacht voor psychische problemen boeren,N,1,N,N
709,b1ff7a34d907cef1e6aaa9917aecbd53bc91bf29994fb0c132c9f481-36-PvdD,Agriculture,"De partij wil een plan van aanpak, waarin ook ambtenaren worden meegenomen die veel met boeren contact hebben.In het verkiezingsprogramma wil de **PvdD** een krimp van de veestapel van 75 procent in een paar jaar.Daarvoor in de plaats moet biologische, ""natuurinclusieve"" landbouw komen zonder gebruik van bestrijdingsmiddelen en genetisch gemanipuleerde gewassen.",L,1,L,L
709,b3dccbb55a134bb1cc8ef2b4c76edb6fca6b2b4cfcd0c7c08783db39-14-CDA,Agriculture,"Maar gelooft de achterban dat allemaal nog?De natuurlijke **CDA-achterban** komt van het platteland, en bestaat ook uit boeren.De tragiek is dat het gedachtegoed van die achterban lijkt te floreren als nooit tevoren.",R,1,R,R
