jobid,unit_id,topic,text,majority,agreement,Amani,Nisanur
611,02cba6b801518598e5f2d2a34ef8677a6d254e9494a3abdeb9297683-140-GL/PvdA,Environment,"08:02**Timmermans** neemt afstand van optreden Thunberg bij klimaatmarsGroenLinks-PvdA-lijsttrekker Frans Timmermans neemt afstand van het optreden van klimaatactiviste Greta Thunberg, afgelopen zondag bij de klimaatmars in Amsterdam . Hij zegt dat zij het klimaatprotest in een ""politieke controverse"" lijkt te trekken.",N,1,N,N
611,02cba6b801518598e5f2d2a34ef8677a6d254e9494a3abdeb9297683-141-GL/PvdA,Environment,"Timmermans neemt afstand van optreden Thunberg bij klimaatmars**GroenLinks-PvdA-lijsttrekker** Frans **Timmermans** neemt afstand van het optreden van klimaatactiviste Greta Thunberg, afgelopen zondag bij de klimaatmars in Amsterdam . Hij zegt dat zij het klimaatprotest in een ""politieke controverse"" lijkt te trekken.Het is volgens hem ""heel jammer dat ze dat doet, omdat ik juist vond dat tot voor kort de klimaatbeweging niet politiek was.",N,0.5,R,N
611,02cba6b801518598e5f2d2a34ef8677a6d254e9494a3abdeb9297683-141-Overig,Environment,"Timmermans neemt afstand van optreden Thunberg bij klimaatmars**GroenLinks-PvdA-lijsttrekker** Frans Timmermans neemt afstand van het optreden van klimaatactiviste Greta Thunberg, afgelopen zondag bij de klimaatmars in Amsterdam . Hij zegt dat zij het klimaatprotest in een ""politieke controverse"" lijkt te trekken.Het is volgens hem ""heel jammer dat ze dat doet, omdat ik juist vond dat tot voor kort de klimaatbeweging niet politiek was.",N,0.5,R,N
611,02cba6b801518598e5f2d2a34ef8677a6d254e9494a3abdeb9297683-185-D66,Environment,"Hij had toen meteen ook partijleider willen worden, maar deed eerst nog een stap opzij voor Sigrid Kaag, die hij nu opvolgt.Het robotachtige imago dat **Jetten** aanvankelijk achtervolgde, heeft hij van zich afgeschud.De minister voor Klimaat en Energie staat bekend als 'klimaatdrammer', maar ziet zichzelf inmiddels liever als 'klimaatdoener'.",L,1,L,L
611,02cba6b801518598e5f2d2a34ef8677a6d254e9494a3abdeb9297683-186-Overig,Environment,"Het robotachtige imago dat Jetten aanvankelijk achtervolgde, heeft hij van zich afgeschud.De **minister** voor Klimaat en Energie staat bekend als 'klimaatdrammer', maar ziet zichzelf inmiddels liever als 'klimaatdoener'.Op sociale media wordt hij vaak aangevallen omdat hij homo is.",L,1,L,L
611,02cba6b801518598e5f2d2a34ef8677a6d254e9494a3abdeb9297683-195-D66,Environment,"Die werden gezien als overblijfselen van de verzuiling, met hun onwrikbare achterbannen van christenen, werkgevers en werknemers.Langzamerhand heeft **D66** zich andere onderwerpen toegeëigend: eerst onderwijs en nu vooral klimaat en duurzaamheid.De partij spreekt vooral hoger opgeleiden aan en wordt door politieke tegenstanders weggezet als elitair.",L,1,L,L
611,02cba6b801518598e5f2d2a34ef8677a6d254e9494a3abdeb9297683-204-PVV,Environment,"""Andere zaken zijn belangrijker.""Nieuwsuur heeft op een rij gezet hoe het de **PVV** in Flevoland vergaat sinds de partij daar meebestuurt in een ""groene coalitie"", en concludeert dat er flinke concessies zijn gedaan, ook op klimaat en asiel.Zo schreef de PVV in het verkiezingsprogramma tegen ""klimaatonzin"" te zijn, maar rijdt de PVV-gedeputeerde in een elektrische auto.",N,0.5,R,N
611,02cba6b801518598e5f2d2a34ef8677a6d254e9494a3abdeb9297683-205-PVV,Environment,"Nieuwsuur heeft op een rij gezet hoe het de PVV in Flevoland vergaat sinds de partij daar meebestuurt in een ""groene coalitie"", en concludeert dat er flinke concessies zijn gedaan, ook op klimaat en asiel.Zo schreef de **PVV** in het verkiezingsprogramma tegen ""klimaatonzin"" te zijn, maar rijdt de **PVV-gedeputeerde** in een elektrische auto.De partij zei tegen de verhoging van de motorrijtuigenbelasting te zijn, maar stemde daarmee toch in.",N,0.5,R,N
611,0f1b716474b2f98017ac9f8d0fd43efc3c397bdf9a980b3acb7b41a0-116-NSC,Environment,"Jansen: „Ik ben tegen de monarchie, die staat nóg in het verkiezingsprogramma.”Van Tergouw is tegen kernenergie, **NSC** wil twee kerncentrales.„Dat vind ik een ding.",L,1,L,L
611,2b91d2627f8179ac29fc9b7c055cf30fd8f95deaa49f9f1015766609-253-CU,Environment,"„En terwijl het geld naar Holland is verdwenen, zitten de Groningers nu met de problemen.”De man stemde altijd **ChristenUnie**.Dit keer gaat hij voor Omtzigt.",N,1,N,N
611,2b91d2627f8179ac29fc9b7c055cf30fd8f95deaa49f9f1015766609-74-PVV,Environment,"„Moet ik tactisch wat extremer stemmen, zoals Partij voor de Dieren?”Daartegenover staan nogal wat kiezers die juist strategisch willen stemmen tegen klimaatmaatregelen, bijvoorbeeld op Geert **Wilders**.Dat geldt bijvoorbeeld voor Peter van Dijk (38, ’t Rak-Zuid in Alkmaar), eigenaar van een bedrijf in bloemenexport.",R,1,R,R
