jobid,unit_id,topic,text,majority,agreement,Nel,Nisanur
628,02cba6b801518598e5f2d2a34ef8677a6d254e9494a3abdeb9297683-66-SP,Economic,"Ik zie die mogelijkheden wel.Maar de **SP** wil wel de garantie dat het dan ook socialer wordt.Anders zie ik het niet goedkomen.""",L,0.5,L,N
628,02cba6b801518598e5f2d2a34ef8677a6d254e9494a3abdeb9297683-68-SP,Economic,"Anders zie ik het niet goedkomen.""Volgens **Marijnissen** hebben ook die andere drie partijen het gemeenschapsdenken voorop staan en hebben ze niet het heilige geloof in de markt.Over NSC zei ze dat de SP samen met Omtzigt het toeslagenschandaal boven water heeft gekregen.",L,0.5,N,L
628,02cba6b801518598e5f2d2a34ef8677a6d254e9494a3abdeb9297683-69-SP,Economic,"Volgens Marijnissen hebben ook die andere drie partijen het gemeenschapsdenken voorop staan en hebben ze niet het heilige geloof in de markt.Over NSC zei ze dat de **SP** samen met Omtzigt het toeslagenschandaal boven water heeft gekregen.""Maar de beste garantie dat dat niet weer gebeurt, is toeslagen overbodig maken.",L,0.5,N,L
628,02cba6b801518598e5f2d2a34ef8677a6d254e9494a3abdeb9297683-72-SP,Economic,"Dan zul je ervoor moeten zorgen dat werkende mensen meer geld in hun portemonnee hebben en dat krijg je bij hem niet en bij ons wel.""Volgens **Marijnissen** is het CDA een beweging aan het maken en wil ook die partij af van de marktwerking in de publieke sector.""Ik zeg alleen elke keer tegen hen: 'Kap dan met de VVD in één kabinet.'""",L,1,L,L
628,02cba6b801518598e5f2d2a34ef8677a6d254e9494a3abdeb9297683-73-VVD,Economic,"Volgens Marijnissen is het CDA een beweging aan het maken en wil ook die partij af van de marktwerking in de publieke sector.""Ik zeg alleen elke keer tegen hen: 'Kap dan met de **VVD** in één kabinet.'""Over Van der Plas zei Marijnissen dat ze met haar heeft opgetrokken om te voorkomen dat een miljoen mensen in de armoede belanden.",N,0.5,R,N
628,02cba6b801518598e5f2d2a34ef8677a6d254e9494a3abdeb9297683-74-BBB,Economic,"""Ik zeg alleen elke keer tegen hen: 'Kap dan met de VVD in één kabinet.'""Over Van der **Plas** zei Marijnissen dat ze met haar heeft opgetrokken om te voorkomen dat een miljoen mensen in de armoede belanden.14:00",L,1,L,L
628,02cba6b801518598e5f2d2a34ef8677a6d254e9494a3abdeb9297683-74-SP,Economic,"""Ik zeg alleen elke keer tegen hen: 'Kap dan met de VVD in één kabinet.'""Over Van der Plas zei **Marijnissen** dat ze met haar heeft opgetrokken om te voorkomen dat een miljoen mensen in de armoede belanden.14:00",L,1,L,L
628,0f1b716474b2f98017ac9f8d0fd43efc3c397bdf9a980b3acb7b41a0-36-NSC,Economic,Ik zie dagelijks wat de gevolgen zijn als dat er niet is.”Als NRC hem spreekt op de ledendag van **NSC** twijfelt hij nog.Het sociale verhaal van Frans Timmermans (GroenLinks-PvdA) spreekt hem óók aan.,N,1,N,N
628,19d4c01088f1a09408c9f6ad65bcef6bed9e6419389f2bbe9c0410f1-17-GL/PvdA,Economic,"Wilfred Genee citeerde Kees de Kort, de huiseconoom van radiostation BNR.Deze niet erg linkse columnist stelde dat **Timmermans’** partij betere economische perspectieven bood dan bedrijfslevensclub VVD.Pieter Omtzigt had het een stuk zwaarder bij Beau.",N,1,N,N
628,1d2860f0c2f5c195066bcf2e531e12088250a6b9a5fb4ebc96cba564-22-BBB,Economic,"Een kleine twee weken later begon Suyker:het programma van BVNL van Wybren van Haga was als eerste aan de beurt, en daarna volgden **BBB**, SP, Partij voor de Dieren, NSC, 50Plus en Denk.Keurige analyses met grafieken, tekortsaldi en werkgelegenheidseffecten rolden over het scherm.",N,1,N,N
