jobid,unit_id,topic,text,majority,agreement,Amani,Nisanur,Sascha
498,265c9b8d1cedf5d3844f078d3de0f48ff69d0da922d2c0e91975fbba-143-Denk,Immigration,"""Ja.Dan heb ik het over politici van **DENK**.Samen met andere Kamerleden met een Turkse achtergrond werd ik door hen aangevallen, want we gedroegen ons niet naar onze kleur.",N,1,N,N,N
498,265c9b8d1cedf5d3844f078d3de0f48ff69d0da922d2c0e91975fbba-146-GL/PvdA,Immigration,"Zo zagen zij dat kennelijk.""""Ook van linkse partijen als SP, **PvdA** en **GroenLinks** kreeg ik het gevoel dat ik anders ben omdat ik hier niet ben geboren.Ik werd daar echt als slachtoffer in een hokje gezet om er daarna weer uit gered te worden.",N,1,N,N,N
498,265c9b8d1cedf5d3844f078d3de0f48ff69d0da922d2c0e91975fbba-33-VVD,Immigration,"Daar profiteren ook de middeninkomens van.""In het **VVD-programma** gaat het erover dat sommige wijken en dorpen worden ""overspoeld met arbeidsmigranten"".Wilders had het ooit over een ""tsunami van islamisering"".",R,1,R,R,R
498,265c9b8d1cedf5d3844f078d3de0f48ff69d0da922d2c0e91975fbba-34-PVV,Immigration,"In het VVD-programma gaat het erover dat sommige wijken en dorpen worden ""overspoeld met arbeidsmigranten"".**Wilders** had het ooit over een ""tsunami van islamisering"".Is de PVV nou milder geworden of de VVD radicaler?",R,0.6666666666666666,N,R,R
498,265c9b8d1cedf5d3844f078d3de0f48ff69d0da922d2c0e91975fbba-35-PVV,Immigration,"Wilders had het ooit over een ""tsunami van islamisering"".Is de **PVV** nou milder geworden of de VVD radicaler?""Over de PVV moet je aan Wilders vragen.""",R,0.6666666666666666,N,R,R
498,265c9b8d1cedf5d3844f078d3de0f48ff69d0da922d2c0e91975fbba-35-VVD,Immigration,"Wilders had het ooit over een ""tsunami van islamisering"".Is de PVV nou milder geworden of de **VVD** radicaler?""Over de PVV moet je aan Wilders vragen.""",N,1,N,N,N
498,265c9b8d1cedf5d3844f078d3de0f48ff69d0da922d2c0e91975fbba-49-PVV,Immigration,"Het zit ook in de retoriek.**Wilders** werd verketterd toen hij het over een tsunami had.Overspoelen is niet hetzelfde, maar die retoriek lijkt er toch op?",N,1,N,N,N
498,37ac044cd72f9712bc97515f3e627917a9e60ccb80fabe6bf1ec10da-36-CU,Immigration,"Die debatteren in drietallen.Bij1, **CU**, FvD gaan in debat over arbeidsmigratie.Volt, SGP, BVNL over Wonen en Denk, CU, JA21 over geldzorgen.",N,1,N,N,N
498,37ac044cd72f9712bc97515f3e627917a9e60ccb80fabe6bf1ec10da-36-FvD,Immigration,"Die debatteren in drietallen.Bij1, CU, **FvD** gaan in debat over arbeidsmigratie.Volt, SGP, BVNL over Wonen en Denk, CU, JA21 over geldzorgen.",N,1,N,N,N
498,37ac044cd72f9712bc97515f3e627917a9e60ccb80fabe6bf1ec10da-37-CU,Immigration,"Bij1, CU, FvD gaan in debat over arbeidsmigratie.Volt, SGP, BVNL over Wonen en Denk, **CU**, JA21 over geldzorgen.Het tweede deel begint na na het NOS Journaal van 20.00 uur en is met de negen grootste partijen.",N,1,N,N,N
498,37ac044cd72f9712bc97515f3e627917a9e60ccb80fabe6bf1ec10da-41-D66,Immigration,"VVD, PVV, PvdD debatteren over spanningen in de samenleving, NSC, CDA, SP over de portemonnee.GroenLinks-PvdA, **D66** en BBB spreken over klimaat.Over migratie gaan D66, PVV en SP het debat aan.",N,1,N,N,N
498,37ac044cd72f9712bc97515f3e627917a9e60ccb80fabe6bf1ec10da-42-D66,Immigration,"GroenLinks-PvdA, D66 en BBB spreken over klimaat.Over migratie gaan **D66**, PVV en SP het debat aan.CDA, BBB en PvdD spreken over landbouw en over het herstel van vertrouwen spreken NSC, VVD en GroenLinks-PvdA.",N,1,N,N,N
498,37ac044cd72f9712bc97515f3e627917a9e60ccb80fabe6bf1ec10da-42-PVV,Immigration,"GroenLinks-PvdA, D66 en BBB spreken over klimaat.Over migratie gaan D66, **PVV** en SP het debat aan.CDA, BBB en PvdD spreken over landbouw en over het herstel van vertrouwen spreken NSC, VVD en GroenLinks-PvdA.",N,1,N,N,N
498,4491024dc6da7b07f1cc14550f046e547a4a3e6c842e3db846455a08-1-VVD,Immigration,NA,N,1,N,N,N
498,45f92430417f32cef53f10aba18b93acccc6519e697220f6dcc27cb7-27-Denk,Immigration,"Een aantal van hen voegde daaraan een stemadvies toe voor woensdag:**Denk** en BIJ1, omdat zij volgens de sprekers werkelijk opkomen voor de Palestijnen.Maar alleen stemmen en demonstreren volstaan niet, volgens advocaat Haroon Raaza.",N,1,N,N,N
498,6d29383598097fe8177af16f63262cff6cb0ca0a7fde569572212768-20-VVD,Immigration,"Politici die ‘grip op migratie’ bepleiten, noemen de aanpak van internationale mensensmokkelbendes vaak in een moeite door.Demissionair premier Mark Rutte (**VVD**) hoopte met deals, zoals met de Tunesische dictator Kais Saied, „het cynische model van mensensmokkelaars aan te pakken”.Politici rechtvaardigen een strengere bewaking van de Europese buitengrenzen vaak als een poging om „mensensmokkelaars brodeloos te maken”, die asielzoekers à raison van soms 25.000 euro met wankele bootjes over de Middellandse Zee brengen.",R,1,R,R,R
498,73e76560c01a325686e8c20c516d8036df4011e5971a83de08751fa0-69-PVV,Immigration,"VVD en PVV staan bij De Hond op 26 zetels, GroenLinks-PvdA en NSC op 23.Zijn partij zal na de verkiezingen in elk geval niet met de **PVV** gaan praten over coalitievorming, zegt hij.""Er is een morele ondergrens waar ik niet onderdoor wil. Een partij die tegen een miljoen Nederlanders zegt: 'Jullie mogen je religie niet uitoefenen, ik ga bepalen hoe je eruit moet zien in de openbare ruimte'.",N,1,N,N,N
498,73e76560c01a325686e8c20c516d8036df4011e5971a83de08751fa0-81-PVV,Immigration,"Ik zie niet hoe dat kan op dit moment.""Ze zegt dat **Wilders** kennelijk ""een constructief weekje"" had, omdat hij zei dat hij er ""belangrijkere prioriteiten"" zijn dan de-islamisering.""Ik weet niet hoe geloofwaardig dat is"", zei Yesilgöz.",N,1,N,N,N
498,73e76560c01a325686e8c20c516d8036df4011e5971a83de08751fa0-82-VVD,Immigration,"Ze zegt dat Wilders kennelijk ""een constructief weekje"" had, omdat hij zei dat hij er ""belangrijkere prioriteiten"" zijn dan de-islamisering.""Ik weet niet hoe geloofwaardig dat is"", zei **Yesilgöz**.Ze vreest dat Wilders' standpunten ""over Rusland, de islam, een Nexit"" zomaar weer uit de prullenbak kunnen worden gehaald.",N,0.6666666666666666,N,R,N
498,982f969171e1c2633e9e1f7fccd9b6b869d259020a2b527511507bf8-21-D66,Immigration,"In de exitpoll staat D66 op 10 zetels, ten opzichte van de huidige 24.In zijn toespraak na de exitpoll haalde **Jetten** tevens hard uit naar de VVD en PVV.""Wilders voerde de afgelopen weken een campagne met en zogenaamde gematigde toon, maar wij wisten dat achter die gematigde toon nog altijd extreme ideeën zitten.",N,1,N,N,N
498,982f969171e1c2633e9e1f7fccd9b6b869d259020a2b527511507bf8-25-D66,Immigration,"Hij bedrijft een politiek van intolerantie.""Volgens **Jetten** is de winst van de PVV deels te verklaren door ""keuzes"" van de VVD:""Want de VVD heeft er de afgelopen zomer voor gekozen om in plaats van grip op migratie te krijgen, nee te zeggen op een pakket van migratie.",N,1,N,N,N
498,982f969171e1c2633e9e1f7fccd9b6b869d259020a2b527511507bf8-25-PVV,Immigration,"Hij bedrijft een politiek van intolerantie.""Volgens Jetten is de winst van de **PVV** deels te verklaren door ""keuzes"" van de VVD:""Want de VVD heeft er de afgelopen zomer voor gekozen om in plaats van grip op migratie te krijgen, nee te zeggen op een pakket van migratie.",N,1,N,N,N
498,982f969171e1c2633e9e1f7fccd9b6b869d259020a2b527511507bf8-26-VVD,Immigration,"Volgens Jetten is de winst van de PVV deels te verklaren door ""keuzes"" van de VVD:""Want de **VVD** heeft er de afgelopen zomer voor gekozen om in plaats van grip op migratie te krijgen, nee te zeggen op een pakket van migratie.Vervolgens kiest Yesilgöz ervoor om de deur wagenwijd open te zetten voor Wilders.",N,1,N,N,N
498,982f969171e1c2633e9e1f7fccd9b6b869d259020a2b527511507bf8-27-PVV,Immigration,"""Want de VVD heeft er de afgelopen zomer voor gekozen om in plaats van grip op migratie te krijgen, nee te zeggen op een pakket van migratie.Vervolgens kiest Yesilgöz ervoor om de deur wagenwijd open te zetten voor **Wilders**.Ze heeft politiek van intolerantie genormaliseerd, terwijl die nooit normaal had mogen zijn.""",N,1,N,N,N
