jobid,unit_id,topic,text,majority,agreement,Nisanur,n.p.reesink@student.vu.nl
525,02495f7ca1df5eba6c0c60d30602a7a178f60e301e5d5bf22a85f1e2-18-PvdD,CivilRights,"In Doetinchem zijn straatnaambordjes zwart geschilderd, in Horst aan de Maas hingen onbekenden bordjes met daarop 'liegbeest', 'zwendelaar' en 'NSDAP-lid' op in de Prins Bernhardstraat.In Amersfoort gaan stemmen op om het standbeeld van Bernhard bij de Bernhardkazerne te verwijderen, en in Alkmaar riep de Partij voor de **Dieren** het college vergeefs op de naam van de Prins Bernhardstraat te veranderen.Het CDA en de VVD stemden donderdag in Utrecht tegen de motie, CDA'er Hessel Stellinga vroeg zich tijdens het debat af of er dan ook bordjes met historische context komen in de Che Guevarastraat, vernoemd naar de Argentijnse verzetsstrijder die Fidel Castro aan de macht hielp in Cuba.",N,1,N,N
525,0998d1d8ab0493d579c42863c7611e4932b6a7b74ecb23d1005cceb6-89-NSC,CivilRights,"De NSC-leider voegde eraan toe dat hij over dat ""grondrechten-issue"" niet zomaar heen kan stappen.**Omtzigt** zei ook weer dat hij voorstander is van een minderheidskabinet.In het NOS Radio 1 Journaal ging het ook nog over het muziekinstrument dat Omtzigt bespeelt:",L,0.5,N,L
525,0a70fa027af71ad9e855f5df871f6829ddbcfcbf7739adc513364bfa-8-D66,CivilRights,"Onder het positieve advies van de Gezondheidsraad vallen ook zogeheten embryo-achtige structuren, die voortkomen uit gemanipuleerde stamcellen.En als het aan **D66** en VVD ligt mogen ook embryo's worden gecreëerd speciaal voor onderzoek - op dit moment moeten wetenschappers zich beperken tot restembryo's van ivf-behandelingen.Tegen de doelen die wetenschappers daarmee hebben kun je op het eerste gezicht moeilijk bezwaar hebben: hogere succeskansen bij ivf - die blijven nu steken bij 30 procent - en het voorkomen van ernstige aangeboren of erfelijke aandoeningen.",L,0.5,L,N
525,0aa855c54d72acecb8abcc076a7f0192f13cddee1193b259ac388b91-22-CU,CivilRights,"Zondag zaten de kerkgangers er weer in de kerkbanken.„Kwetsend en respectloos” , wordt het concert door de **ChristenUnie** in een brief aan het college genoemd.En ook bij de Laurenskerk meldden zich christenen die aanstoot namen aan de acts.",N,0.5,R,N
525,0f1b716474b2f98017ac9f8d0fd43efc3c397bdf9a980b3acb7b41a0-54-NSC,CivilRights,Bij de laatste landelijke verkiezingen was Regli zó klaar met gevestigde politieke partijen dat hij koos voor een nieuwe partij waar hij de naam niet meer van weet en die niet genoeg stemmen kreeg.„Ze zeggen dat **NSC** sociaal-conservatief is.Dat conservatieve herken ik niet zo.,N,1,N,N
525,176f7075f752f558c712cc6051b17ed7d6d79143000e2fc8e5cf8744-9-D66,CivilRights,Van der Plas bekende moeite te hebben met rekenen.**Jetten** beschreef zijn middelbareschooltijd;hij ontdekte dat hij op jongens viel en was bang gepest te worden.,N,1,N,N
525,17c19dc0713be7891134dc3d1637b8cffda11cda3970355f26b78c0b-147-CU,CivilRights,"In de afgelopen kabinetscrisis benadrukte ze dat haar partij een gezinspartij is, en daarom niet kon instemmen met het beperken van de gezinshereniging voor statushouders, zoals de VVD wil.**Bikker** is lid van een kerkgemeente die zich rekent tot de meest orthodoxe vleugel binnen de Protestantse Kerk Nederland (PKN).De ChristenUnie is in 2000 voortgekomen uit twee traditioneel gereformeerde partijen (GPV en RPF), maar inmiddels zijn ook veel evangelische christenen lid en actief voor de partij.",R,1,R,R
525,1c1c6fab74079c10ef47c9fee9c004c11e63eaded615873c60958d02-121-GL/PvdA,CivilRights,"De PvdA-voorgangers van Timmermans hadden het standpunt dat de politie neutraal moet zijn.Nu staat in het verkiezingsprogramma van **GroenLinks-PvdA** dat het wel mag.Wat is er veranderd, was de vraag.",L,0.5,L,N
525,1e2da4a564a6e0c90fa3d199e4a0f1caa3b0e92586e12591418a0394-15-FvD,CivilRights,"Jarenlang galmden in ons parlement kreten als 'kopvodden', 'islamitisch tuig' of 'laffe Afrikaanse en Arabische roedels'.Rechts Nederland hees Thierry **Baudet** op het schild, ook toen hij al met 'homeopathische verdunning' had geschermd - toch was men verbaasd over het antisemitische app-verkeer van **Baudet** en zijn Forum-kornuiten.Het had niemand mógen verbazen.",R,1,R,R
525,21744d7323d9ce8965333f7a4a0cf8c4fd44f7c5d7413b473e1cc509-2-Denk,CivilRights,NA,L,1,L,L
525,2c72896c4c2211ae5e63d933100a57d4cbac1541dbd415d07402e0b2-282-Denk,CivilRights,"Van Baarle gebruikte eerder de omstreden leus 'From the river to the sea, Palestine will be free', die door sommigen als antisemitisch wordt gezien.Volgens de **Denk-voorman** staat die leus voor het opkomen voor mensenrechten en het bepleiten van één staat, die Palestina heet.Volgens hem is één staat de enige weg naar een vreedzame oplossing;",L,0.5,N,L
525,2c72896c4c2211ae5e63d933100a57d4cbac1541dbd415d07402e0b2-287-Denk,CivilRights,"In het gesprek ging het ook over de 'successen' van Denk.Van **Baarle** noemde als voorbeelden dat zijn partij als eerste naar voren heeft gebracht dat de Belastingdienst discrimineert en dat **Denk** ook op andere gebieden heeft gezorgd voor een hardere aanpak van discriminatie:""Wij hebben te maken met mensen in onze achterban die daar dagelijks mee te kampen hebben.",L,1,L,L
525,3861b640220122163756059acd0253fcdd6037c6e00c6bbb81c2e86c-2-FvD,CivilRights,De gemeente Westland schrapt haar plan voor een jongerenspreekuur van de GGD over seksuele gezondheidszorg.Vorige week aanvaardde de gemeenteraad een motie van **Forum** voor Democratie voor het schrappen.D66-fractievoorzitter Benjamin Hofland zegt 'als progressief in het conservatieve Westland' wel wat gewend te zijn.,R,1,R,R
